# FIELD  ID_V2.1D ID_V4.0 RA_1       DEC_1    Z_MOSFIRE MASKNAME TARGET id   x        y        ra_2        dec_2     SEflags iso_area Kstot    eKstot    ksauto    Ks_flux_radius Ks_rkron_circ Kstot07  eKstot07  apcorr   B            eB         wB  G          eG         wG  Gp        eGp      wGp Hl        eHl       wHl  Hs        eHs       wHs  I          eI         wI  IA427        eIA427     wIA427 IA464        eIA464     wIA464 IA484        eIA484   wIA484 IA505        eIA505     wIA505 IA527        eIA527     wIA527 IA574       eIA574     wIA574 IA624        eIA624     wIA624 IA679       eIA679     wIA679 IA709       eIA709     wIA709 IA738       eIA738     wIA738 IA767      eIA767     wIA767 IA827       eIA827    wIA827 J1        eJ1        wJ1  J2        eJ2        wJ2  J3        eJ3        wJ3  Ks2       eKs2      wKs2 Ks        eKs       wKs  NB118       eNB118    wNB118 NB209       eNB209    wNB209 R           eR         wR  Rp          eRp        wRp U            eU         wU  V           eV         wV  Z          eZ         wZ  Zp         eZp        wZp f_F125W   e_F125W   w_F125W f_F160W  e_F160W   w_F160W id_irac CH1     eCH1    wCH1 CH2       eCH2    wCH2 CH3      eCH3   wCH3 CH4       eCH4   wCH4 wmin_optical wmin_fs wmin_jhk wmin_hst wmin_irac wmin_all starflag nearstar nearsource snr      snrflag use Separation          
  COSMOS 1446     1538    150.156525 2.195583 2.4358    co2_01   1      614  2155.5   549.631  150.1565094 2.1955974 0       77.0     7.898782 0.3683369 7.09739   2.312          5.036391      5.777967 0.2110929 1.112914 0.8215302    0.01042632 1.0 1.136572   0.01779057 1.0 319.6832  16.43184 1.0 4.04597   0.1422907 1.01 3.874063  0.1506644 0.93 1.662209   0.01928507 1.0 0.7335559    0.04116949 1.0    1.059092     0.09642278 1.0    1.063378     0.039057 1.0    1.203809     0.04927125 1.0    1.170224     0.03507106 1.0    1.399222    0.07952184 1.0    1.474885     0.04436093 1.0    1.841419    0.07887795 1.0    1.430079    0.05256988 1.0    1.514257    0.06145759 1.0    1.599882   0.07401201 1.0    1.397123    0.1023235 1.0    1.813363  0.08804297 0.67 1.937189  0.08407982 0.73 2.468885  0.1041165  0.78 4.858751  0.3947617 1.0  4.029388  0.1667331 0.71 1.938696    0.1744631 1.06   3.233217    0.3600549 1.12   1.484782    0.01646952 1.0 1.486449    0.02084826 1.0 0.4881786    0.02231845 1.0 1.410636    0.02269451 1.0 1.815327   0.06273078 1.0 1.824386   0.07932358 1.0 2.37024   0.0251761 1.03    3.55259  0.0236131 1.01    614     5.0244  0.28154 1.02 5.2784    0.432   0.87 -0.87898 2.2701 1.09 1.4257    2.9633 0.86 1.0          0.67    1.0      1.01     0.86      0.67     0        0        0          27.37167 1       1   0.0763983119790724  
  COSMOS 3284     3324    150.148407 2.213131 2.3072    co2_01   1      1897 2350.106 970.101  150.148407  2.2131171 0       158.0    15.6246  0.4286532 14.78139  3.574          7.221082      6.087004 0.1672012 1.057045 0.4029843    0.01042632 1.0 0.554738   0.01779057 1.0 158.5544  16.43184 1.0 4.458569  0.1339322 1.14 4.091066  0.1331921 1.19 0.9668618  0.01928507 1.0 0.3410443    0.04116949 1.0    0.3767519    0.09642278 1.0    0.5763404    0.039057 1.0    0.5970296    0.04927125 1.0    0.6753904    0.03507106 1.0    0.6150864   0.07952184 1.0    0.8351718    0.04436093 1.0    0.9667325   0.07887795 1.0    0.8160825   0.05256988 1.0    0.7926275   0.06145759 1.0    0.7529573  0.07401201 1.0    0.9696991   0.1023235 1.0    1.588536  0.06578721 1.2  1.660517  0.06698912 1.15 2.885722  0.08574677 1.15 6.50764   0.3947617 1.0  6.099292  0.1315827 1.14 2.000391    0.1674972 1.15   4.671229    0.3701048 1.06   0.8489073   0.01646952 1.0 0.8206511   0.02084826 1.0 0.1813766    0.02231845 1.0 0.7536035   0.02269451 1.0 1.309767   0.06273078 1.0 1.271175   0.07932358 1.0 2.40132   0.0253889 1.01    3.80607  0.02369   1.01    1897    6.5386  0.24334 1.22 6.0633    0.31098 1.14 12.348   1.913  1.2  3.0113    2.2918 1.13 1.0          1.0     1.0      1.01     1.0       1.0      0        0        0          36.40527 1       1   0.050040000000918385
  COSMOS 936      1014    150.149673 2.191054 2.1003    co2_01   1      347  2319.721 440.793  150.1496735 2.1910639 2       153.0    36.51947 0.6280239 33.87048  2.234          6.063108      28.92357 0.2984552 1.078209 1.324488     0.01042632 1.0 1.910873   0.01779057 1.0 546.2414  16.43184 1.0 14.61099  0.1910924 0.56 13.99296  0.2034543 0.51 3.96317    0.01928507 1.0 1.474914     0.04116949 1.0    1.605495     0.09642278 1.0    1.549378     0.039057 1.0    1.816776     0.04927125 1.0    2.159621     0.03507106 1.0    2.36328     0.07952184 1.0    3.031054     0.04436093 1.0    3.848379    0.07887795 1.0    3.300708    0.05256988 1.0    3.538248    0.06145759 1.0    3.304664   0.07401201 1.0    4.531008    0.1023235 1.0    5.942578  0.1273964  0.32 7.403325  0.1232009  0.34 10.47676  0.1453907  0.4  19.83149  0.3947617 1.0  18.38196  0.2341531 0.36 9.472052    0.2210978 0.66   15.27798    0.4490673 0.72   2.939998    0.01646952 1.0 2.974658    0.02084826 1.0 1.027565     0.02231845 1.0 2.637655    0.02269451 1.0 5.030185   0.06273078 1.0 5.383618   0.07932358 1.0 9.40883   0.0251546 1.03    12.6553  0.0232938 1.04    347     28.088  0.33398 1.12 31.496    0.47358 0.87 29.448   2.3029 1.11 18.316    3.0844 0.95 1.0          0.32    1.0      1.03     0.87      0.32     0        0        0          96.91091 1       1   0.035685359245037344
  COSMOS 987      1065    150.150864 2.19133  -1.0      co2_01   0      356  2291.135 447.552  150.1508636 2.1913452 3       116.0    23.28014 0.5571317 21.31716  2.339          5.567657      17.26682 0.2898234 1.092085 0.1006448    0.01042632 1.0 0.1249416  0.01779057 1.0 41.14784  16.43184 1.0 6.739724  0.1787505 0.64 6.05209   0.1959164 0.55 0.7232002  0.01928507 1.0 0.07041024   0.04116949 1.0    0.04962676   0.09642278 1.0    0.1426529    0.039057 1.0    0.07834926   0.04927125 1.0    0.1210312    0.03507106 1.0    0.2925527   0.07952184 1.0    0.3246886    0.04436093 1.0    0.5013059   0.07887795 1.0    0.4000938   0.05256988 1.0    0.4861083   0.06145759 1.0    0.5586573  0.07401201 1.0    0.769196    0.1023235 1.0    2.099676  0.1201105  0.36 2.66085   0.1165363  0.38 3.260439  0.1418868  0.42 12.05004  0.3947617 1.0  11.73707  0.2279079 0.38 2.986452    0.2162379 0.69   9.785632    0.4287105 0.79   0.3136063   0.01646952 1.0 0.3136147   0.02084826 1.0 0.1158908    0.02231845 1.0 0.2022325   0.02269451 1.0 1.258057   0.06273078 1.0 1.308214   0.07932358 1.0 3.26242   0.0250287 1.04    5.5835   0.0232108 1.05    356     27.042  0.32369 1.11 26.802    0.46012 0.94 24.22    2.3017 1.09 17.306    3.1478 0.95 1.0          0.36    1.0      1.04     0.94      0.36     0        0        0          59.57704 1       1   0.05473891639653557 
  COSMOS 4295     4205    150.139938 2.220209 -1.0      co2_01   1      2540 2553.703 1140.215 150.1399231 2.220206  1       29.0     2.67384  0.4181611 2.490869  3.181          6.305804      1.341665 0.1910822 1.073456 0.4978195    0.01042632 1.0 0.608963   0.01779057 1.0 181.347   16.43184 1.0 1.019869  0.1830933 0.61 1.009103  0.1749152 0.69 0.7459     0.01928507 1.0 0.4492162    0.04116949 1.0    0.3804302    0.09642278 1.0    0.533975     0.039057 1.0    0.6002158    0.04927125 1.0    0.5935893    0.03507106 1.0    0.5804344   0.07952184 1.0    0.5696644    0.04436093 1.0    0.8013558   0.07887795 1.0    0.7187491   0.05256988 1.0    0.5952255   0.06145759 1.0    0.539216   0.07401201 1.0    0.5555248   0.1023235 1.0    0.9262301 0.07596452 0.9  0.9482473 0.07933161 0.82 1.09686   0.1015453  0.82 1.592567  0.3947617 1.0  1.234104  0.1489211 0.89 0.9004195   0.254022  0.5    0.9173265   0.653489  0.34   0.656874    0.01646952 1.0 0.6480917   0.02084826 1.0 0.4423164    0.02231845 1.0 0.6304436   0.02269451 1.0 0.7572991  0.06273078 1.0 0.7656336  0.07932358 1.0 0.969917  0.0251652 1.03    1.58894  0.0235142 1.02    2540    0.95716 0.54916 1.13 0.34644   0.33349 1.07 -0.8111  1.9031 1.17 4.6494    2.422  1.09 1.0          0.34    1.0      1.02     1.0       0.34     0        0        0          7.021403 1       1   0.0546769733192341  
  COSMOS 4677     4557    150.136398 2.22527  -1.0      co2_01   1      2795 2637.808 1262.132 150.1364136 2.225286  0       155.0    21.31889 0.5470084 20.08565  3.495          6.944739      9.00332  0.2249194 1.061399 0.2891331    0.01042632 1.0 0.3817083  0.01779057 1.0 116.31    16.43184 1.0 5.682566  0.2452437 0.34 4.734065  0.2326589 0.39 0.8575246  0.01928507 1.0 0.2079597    0.04116949 1.0    0.2554154    0.09642278 1.0    0.3477454    0.039057 1.0    0.4152015    0.04927125 1.0    0.2962869    0.03507106 1.0    0.4371893   0.07952184 1.0    0.415987     0.04436093 1.0    0.6107849   0.07887795 1.0    0.5040721   0.05256988 1.0    0.5573528   0.06145759 1.0    0.8661878  0.07401201 1.0    0.9578921   0.1023235 1.0    1.752515  0.08613567 0.7  2.489166  0.09274223 0.6  3.271629  0.1263074  0.53 8.317349  0.3947617 1.0  8.263729  0.1770031 0.63 3.187032    0.4356442 0.17   5.623977    0.9838572 0.15   0.4681662   0.01646952 1.0 0.4653783   0.02084826 1.0 0.242258     0.02231845 1.0 0.4364258   0.02269451 1.0 1.257585   0.06273078 1.0 1.340386   0.07932358 1.0 2.88506   0.0251002 1.04    4.48968  0.0232777 1.04    2795    21.874  0.19584 1.16 29.077    0.32731 1.0  35.843   1.9066 1.17 20.799    2.5861 0.94 1.0          0.15    1.0      1.04     0.94      0.15     0        0        0          40.0291  1       0   0.08041735200961625 
  COSMOS 1090     1163    150.139313 2.191413 -1.0      co2_01   1      417  2568.372 449.405  150.1392975 2.1914239 0       11.0     2.515362 0.6139348 2.134193  2.181          4.002503      1.907676 0.443186  1.178601 0.1660773    0.01042632 1.0 0.1589304  0.01779057 1.0 27.80247  16.43184 1.0 1.032586  0.2804469 0.26 0.658262  0.302962  0.23 0.4635895  0.01928507 1.0 0.2477781    0.04116949 1.0    0.1711246    0.09642278 1.0    0.2049184    0.039057 1.0    0.1654553    0.04927125 1.0    0.0839178    0.03507106 1.0    0.07884393  0.07952184 1.0    0.1293349    0.04436093 1.0    0.3130244   0.07887795 1.0    0.1981251   0.05256988 1.0    0.3160881   0.06145759 1.0    0.2620819  0.07401201 1.0    0.3513564   0.1023235 1.0    0.3665756 0.1747864  0.17 0.5553217 0.1693234  0.18 0.5186174 0.237422   0.15 1.218141  0.3947617 1.0  1.454488  0.3512296 0.16 0.4477335   0.3745351 0.23   2.069574    0.7201098 0.28   0.1944343   0.01646952 1.0 0.1422312   0.02084826 1.0 0.1765872    0.02231845 1.0 0.1429399   0.02269451 1.0 0.6507794  0.06273078 1.0 0.5751241  0.07932358 1.0 0.653339  0.0249835 1.05    0.656318 0.0232013 1.05    417     1.5377  1.5517  1.19 0.69747   0.89542 1.08 0.32402  1.9698 1.17 -2.0391   2.4599 1.08 1.0          0.15    1.0      1.05     1.0       0.15     0        0        0          4.304458 0       0   0.06818258548208123 
  COSMOS 3106     3146    150.132599 2.21209  2.1065    co2_01   1      1885 2729.397 945.205  150.1325836 2.2120819 3       43.0     11.50854 0.4158501 10.26659  2.366          4.855058      8.171538 0.2489141 1.12097  0.07603294   0.01042632 1.0 0.1199304  0.01779057 1.0 16.94858  16.43184 1.0 3.944134  0.2131725 0.45 4.360072  0.2297323 0.4  0.3885481  0.01928507 1.0 0.001954032  0.04116949 1.0    0.1522353    0.09642278 1.0    0.1022678    0.039057 1.0    0.2009321    0.04927125 1.0    0.174361     0.03507106 1.0    0.3161788   0.07952184 1.0    0.2215903    0.04436093 1.0    0.07673413  0.07887795 1.0    0.2931561   0.05256988 1.0    0.2502927   0.06145759 1.0    0.4043402  0.07401201 1.0    0.3409973   0.1023235 1.0    0.8604875 0.09227141 0.61 1.204714  0.09599733 0.56 2.017828  0.1300414  0.5  6.350403  0.3947617 1.0  6.112091  0.1948271 0.52 1.56171     0.3226083 0.31   5.903941    0.6181387 0.38   0.2677008   0.01646952 1.0 0.2166343   0.02084826 1.0 0.06624371   0.02231845 1.0 0.1915736   0.02269451 1.0 0.6586059  0.06273078 1.0 0.635867   0.07932358 1.0 2.04303   0.0255938 1.0     4.05426  0.0238415 1.0     1885    7.0132  0.17809 1.2  11.262    0.31712 0.97 18.253   1.624  1.29 36.163    2.036  1.02 1.0          0.31    1.0      1.0      0.97      0.31     0        0        1          32.82875 1       0   0.06260447270300223 
  COSMOS 2335     -9999   150.129608 2.207168 2.3074    co2_01   1      1442 2803.821 827.594  150.1294861 2.2071822 3       136.0    15.50565 0.6018259 14.67457  3.296          7.232809      7.672655 0.2358604 1.056634 0.7621531    0.01042632 1.0 1.023527   0.01779057 1.0 293.2339  16.43184 1.0 5.194446  0.1697103 0.71 4.895281  0.1802168 0.65 1.555973   0.01928507 1.0 0.7826405    0.04116949 1.0    0.9609859    0.09642278 1.0    1.061024     0.039057 1.0    0.9593169    0.04927125 1.0    1.00291      0.03507106 1.0    1.272602    0.07952184 1.0    1.306065     0.04436093 1.0    1.59014     0.07887795 1.0    1.436946    0.05256988 1.0    1.388568    0.06145759 1.0    1.446299   0.07401201 1.0    1.658331    0.1023235 1.0    2.224097  0.09008284 0.64 2.377234  0.08910386 0.65 3.624219  0.1167806  0.62 6.697121  0.3947617 1.0  6.335809  0.1844748 0.58 2.443323    0.2263008 0.63   4.790546    0.4342425 0.77   1.395223    0.01646952 1.0 1.360251    0.02084826 1.0 0.4310185    0.02231845 1.0 1.348347    0.02269451 1.0 1.876533   0.06273078 1.0 1.943978   0.07932358 1.0 0.0815596 0.0679399 0.14    0.275699 0.0622783 0.15    1442    7.2152  0.22833 1.01 7.6918    0.38022 1.07 11.149   2.137  1.13 7.5051    2.4834 1.07 1.0          0.58    1.0      0.14     1.0       0.14     0        0        0          32.53049 1       0   0.44148403764016225 
  COSMOS 5791     5640    150.121109 2.235422 2.4354    co2_01   1      3566 3004.639 1504.89  150.1211243 2.2354023 0       29.0     2.428379 0.2329808 1.960944  1.829          3.533018      2.231413 0.1862319 1.238372 1.023453     0.01042632 1.0 1.196401   0.01779057 1.0 347.1978  16.43184 1.0 3.309978  0.1409025 1.03 1.304251  0.1467706 0.98 1.107667   0.01928507 1.0 1.356907     0.04116949 1.0    1.143236     0.09642278 1.0    1.123338     0.039057 1.0    1.110334     0.04927125 1.0    1.155243     0.03507106 1.0    1.099513    0.07952184 1.0    1.133614     0.04436093 1.0    1.42695     0.07887795 1.0    1.066524    0.05256988 1.0    1.184303    0.06145759 1.0    1.145271   0.07401201 1.0    1.025481    0.1023235 1.0    0.9607862 0.0763901  0.89 0.9193965 0.07370405 0.95 1.266028  0.09336429 0.97 1.213283  0.3947617 1.0  1.267882  0.1456833 0.93 1.231927    0.1761326 1.04   1.810283    0.3791552 1.01   1.134013    0.01646952 1.0 1.152401    0.02084826 1.0 0.7489676    0.02231845 1.0 1.262204    0.02269451 1.0 1.103578   0.06273078 1.0 1.302753   0.07932358 1.0 1.01376   0.0250714 1.04    1.25538  0.0237011 1.01    3566    0.91495 0.22467 1.25 0.4072    0.38412 1.12 4.6811   2.4462 1.11 0.96501   2.7587 1.14 1.0          0.89    1.0      1.01     1.0       0.89     0        0        0          11.98191 1       1   0.08977102596057082 
