# FIELD ID_V2.1D ID_V4.0 RA_1       DEC_1     Z_MOSFIRE MASKNAME TARGET id    x       y      ra_2         dec_2       faper_F160W eaper_F160W faper_F140W eaper_F140W f_F160W   e_F160W    w_F160W f_U          e_U         w_U  f_G          e_G         w_G  f_F606W      e_F606W    w_F606W f_R         e_R         w_R  f_I        e_I         w_I  f_F814W     e_F814W    w_F814W f_Z        e_Z        w_Z  f_F125W   e_F125W    w_F125W f_J1        e_J1      w_J1 f_J2      e_J2      w_J2 f_J3        e_J3      w_J3 f_J        e_J       w_J   f_F140W    e_F140W    w_F140W f_H1       e_H1      w_H1 f_H2        e_H2      w_H2 f_H        e_H        w_H  f_K        e_K       w_K  f_Ks        e_Ks       w_Ks f_IRAC1    e_IRAC1   w_IRAC1 f_IRAC2    e_IRAC2   w_IRAC2 f_IRAC3     e_IRAC3  w_IRAC3 f_IRAC4    e_IRAC4  w_IRAC4 tot_cor wmin_ground wmin_hst wmin_irac wmin_wfc3 z_spec star_flag kron_radius a_image b_image theta_J2000 class_star flux_radius fwhm_image flags IRAC1_contam IRAC2_contam IRAC3_contam IRAC4_contam contam_flag f140w_flag use_phot near_star nexp_f125w nexp_f140w nexp_f160w Separation           
  AEGIS 12870    36257   214.71843  52.79871  2.1307    ae2_03   1      36257 30800.1 8950.1 214.71847534 52.79872513 4.008898    0.03578028  3.766244    0.06865728  6.083429  0.1000149  0.68    1.013959     0.03358446  0.7  1.627292     0.01968389  0.91 1.888952     0.03513281 0.79    1.833181    0.02204861  0.93 1.953189   0.02927817  0.9  2.080319    0.05674259 0.69    2.322233   0.06443776 0.77 4.490211  0.05901704 0.72    2.500048    0.218922  0.75 3.803838  0.2850634 0.72 5.816688    0.3247967 0.8  4.188384   0.2854733 0.57  5.715206   0.1041862  0.53    6.188672   0.5353657 0.75 5.615033    0.5442592 0.7  5.793573   0.3540012  0.69 7.40408    0.634446  0.77 7.527448    0.45617    0.76 8.708792   0.1494782 0.81    8.871802   0.164553  0.8     7.53253     1.691611 0.87    5.190808   1.655554 0.77    1.0796  0.5665      0.5282   0.7684    0.5282    -1.0   0         3.79        4.35    2.97    58.1        0.03       3.888       0.0        0     0.0010       0.0010       0.0090       0.017        0           0          1        0         4.0        4.0        4.0        0.11272126487783163  
  AEGIS 13032    36492   214.717087 52.799313 -1.0      ae2_03   0      36492 30803.9 9010.8 214.71713257 52.79933167 0.3611004   0.03613418  0.2539756   0.06797189  0.4403504 0.03849529 0.67    0.1283711    0.02431514  0.7  0.1259839    0.01424023  0.91 0.1664231    0.02799327 0.8     0.1335364   0.01585999  0.93 0.1480227  0.02107092  0.9  0.1748485   0.04526596 0.7     0.1852978  0.04631997 0.77 0.1970339 0.04869573 0.69    -0.0488176  0.1404976 0.77 0.1052394 0.1828279 0.75 0.4304604   0.2076608 0.82 0.2654364  0.2049263 0.49  0.3097152  0.08288955 0.54    0.8290731  0.341362  0.78 0.4118825   0.3480142 0.76 0.3836368  0.2533002  0.69 0.7336082  0.4062343 0.77 0.1724997   0.3266544  0.84 -0.3692265 0.2116921 0.79    -0.5656439 0.232846  0.8     -1.192587   2.397015 0.83    -99.0      -99.0    0.0     1.183   0.4926      0.539    0.7938    0.539     -1.0   2         3.5         1.95    1.7     -77.4       0.32       2.691       0.0        0     -0.725       -0.553       -0.511       -99.0        0           0          1        0         4.0        4.0        4.0        0.11981469620935557  
  AEGIS 12793    36104   214.725632 52.802532 -1.0      ae2_03   1      36104 30457.1 8899.3 214.72564697 52.80254745 3.954999    0.03564673  2.562427    0.06675501  6.789513  0.1129322  0.69    0.02787504   0.03547821  0.7  0.026408     0.02077637  0.91 0.08558642   0.0406034  0.75    0.1443398   0.02336525  0.93 0.2156328  0.03107908  0.9  0.2030629   0.06703055 0.63    0.5625287  0.06826927 0.77 2.421659  0.06624379 0.74    0.7294375   0.2281227 0.73 2.125263  0.2980439 0.68 2.785713    0.3404719 0.82 1.650095   0.3064015 0.43  4.398896   0.1145978  0.56    7.403173   0.55747   0.74 8.491122    0.5708107 0.71 7.126424   0.3795218  0.77 14.30578   0.6630346 0.76 15.68274    0.4892203  0.91 32.00441   0.1502788 0.75    41.29048   0.1650395 0.81    47.68016    1.700884 0.81    35.74751   1.665879 0.76    1.0716  0.4333      0.5588   0.7529    0.5588    -1.0   0         3.6         5.43    3.21    -12.0       0.03       4.464       0.0        0     0.0030       0.0020       0.0080       0.0060       0           0          1        0         4.0        4.0        4.0        0.06446018860754484  
  AEGIS 12528    34966   214.736465 52.806305 1.4177    ae2_03   1      34966 30030.0 8745.3 214.73649597 52.80632401 2.992649    0.0360903   2.817466    0.0689951   3.986356  0.07464003 0.67    1.742575     0.03203432  0.7  1.68689      0.01877358  0.91 1.657648     0.03170623 0.75    1.710663    0.02098846  0.93 1.751221   0.02784452  0.9  1.981351    0.05163435 0.64    2.333843   0.06126554 0.77 3.535759  0.05137206 0.74    2.518887    0.2170768 0.69 4.605556  0.2830632 0.73 3.882828    0.3216137 0.81 3.276986   0.2709344 0.41  3.753004   0.09190487 0.52    5.068541   0.5297345 0.71 3.768072    0.5396842 0.72 3.617038   0.3361827  0.71 4.949399   0.6278341 0.77 2.84555     0.4325197  1.0  4.669515   0.1490688 0.77    4.453876   0.1636748 0.78    8.109093    1.689517 0.79    2.771788   1.646383 0.73    1.1133  0.4062      0.5231   0.7304    0.5231    -1.0   0         3.5         3.38    2.78    -34.8       0.03       3.331       0.0        0     0.011        0.0090       0.013        0.168        0           0          1        0         4.0        4.0        4.0        0.09605207091228124  
  AEGIS 12046    33808   214.737564 52.80188  2.2254    ae2_03   1      33808 30206.6 8543.3 214.7375946  52.80190277 2.277778    0.03567228  2.098458    0.06826053  6.891832  0.1738435  0.69    1.328364     0.04237199  0.7  2.358586     0.02505137  0.91 2.330174     0.05890389 1.0     2.709081    0.02848155  0.93 2.692118   0.03784401  0.9  2.711446    0.09043079 1.0     3.11228    0.08358373 0.77 5.111387  0.1173207  0.73    3.455105    0.2562868 0.68 4.952242  0.3341267 0.69 5.367256    0.3861293 0.8  5.96014    0.3752887 0.42  6.349267   0.2065347  0.53    7.491827   0.6254261 0.7  6.809164    0.6458542 0.69 5.973923   0.4717738  0.68 8.522216   0.7502387 0.73 7.432367    0.603621   0.67 7.962158   0.1631899 0.76    8.381163   0.1805488 0.76    8.292347    1.823687 0.77    3.939554   1.782952 0.73    1.0392  0.4243      0.5344   0.7286    0.5344    -1.0   0         3.78        6.9     4.51    27.6        0.03       7.681       0.0        0     0.055        0.074        0.147        0.267        0           0          1        0         4.0        4.0        4.0        0.10561692291935425  
  AEGIS 11578    32354   214.742966 52.799927 2.1328    ae2_03   1      32354 30171.1 8320.6 214.74291992 52.79995728 2.959899    0.03617039  2.701601    0.04812261  8.970838  0.1591753  0.67    2.955606     0.03982675  0.7  3.941243     0.02355027  0.91 4.049852     0.07197061 0.75    4.117765    0.0265136   0.93 4.155623   0.03555623  0.9  4.289622    0.1102451  0.73    4.727958   0.07816593 0.77 7.325581  0.1189822  0.71    4.909349    0.2435257 0.71 6.436739  0.3174916 0.68 6.635602    0.3634716 0.79 7.12796    0.3496563 0.45  8.187991   0.1458496  1.0     10.01467   0.5923319 0.71 8.486908    0.6132319 0.67 8.575289   0.4350488  0.73 9.251585   0.7054887 0.74 10.70913    0.5606163  0.86 10.36644   0.1567213 0.76    10.91247   0.1701125 0.8     14.59734    1.746045 0.77    3.163987   1.712556 0.76    1.0463  0.4455      0.6665   0.7607    0.6665    -1.0   0         3.53        6.05    5.03    14.5        0.03       7.227       0.0        0     0.05         0.036        0.12         0.965        1           0          1        0         4.0        8.0        4.0        0.14812834264975253  
  AEGIS 11491    31562   214.744675 52.799351 -1.0      ae2_03   0      31562 30155.8 8247.7 214.74472046 52.799366   0.235756    0.03616426  0.3637195   0.04779716  0.3997957 0.08046365 0.67    0.3151489    0.0374647   0.7  0.287437     0.02185028  0.91 0.3622291    0.04096677 0.72    0.2126794   0.02445779  0.93 0.1793718  0.03229443  0.9  0.2720183   0.06177368 0.73    0.123581   0.07171551 0.77 0.6644717 0.06689857 0.7     0.3289738   0.2607264 0.69 0.8193404 0.3382263 0.69 1.569602    0.3861837 0.8  0.4839161  0.3159512 0.49  0.6167966  0.08105455 1.0     0.2519079  0.6361275 0.69 -0.07193741 0.6466484 0.68 -0.8391066 0.3909102  0.78 0.334571   0.7535741 0.74 0.05607314  0.5015155  0.87 0.0961037  0.1329465 0.79    -99.0      -99.0     0.0     2.540448    1.511041 0.73    -0.7220688 1.467936 0.76    1.1033  0.4902      0.6668   0.7332    0.6668    -1.0   2         5.33        2.63    1.73    3.7         0.01       3.912       0.0        0     0.61         -99.0        0.178        -0.544       1           0          1        0         4.0        8.0        4.0        0.1127237938902847   
  AEGIS 11299    31044   214.750183 52.801159 2.2945    ae2_03   1      31044 29944.6 8165.7 214.75021362 52.80117035 1.073726    0.03631871  0.8818517   0.04819528  1.414182  0.06427708 0.66    0.1419291    0.03260987  0.7  0.2016955    0.01898577  0.91 0.2677695    0.03061932 0.78    0.2840106   0.02114809  0.93 0.3207772  0.02826826  0.9  0.2882148   0.04665073 0.77    0.4908583  0.06188244 0.76 0.9007111 0.05116623 0.73    -0.1425736  0.2143104 0.69 0.7233037 0.2802524 0.65 0.3726475   0.3189734 0.8  0.1239122  0.2732883 0.49  1.161469   0.06347701 1.0     1.482747   0.5270469 0.7  2.093811    0.5361739 0.66 0.9137833  0.3383326  0.7  1.041071   0.6194878 0.75 0.8072364   0.437283   0.73 2.89015    0.1369528 0.76    2.711106   0.1506396 0.82    5.798343    1.548768 0.78    3.87682    1.508479 0.78    1.1325  0.4883      0.6611   0.7552    0.6611    -1.0   0         3.5         3.11    2.37    76.3        0.02       3.306       0.0        0     0.192        0.222        0.254        0.547        1           0          1        0         4.0        8.0        4.0        0.07817297250961239  
  AEGIS 10503    28799   214.75621  52.79591  2.214     ae2_03   1      28799 30043.5 7795.6 214.75624084 52.79592896 3.030959    0.03139922  2.813639    0.06953916  4.264287  0.08078089 0.88    0.6335926    0.03260558  0.67 1.228631     0.01909796  0.87 1.481363     0.03325999 0.76    1.428963    0.0214726   0.89 1.448486   0.0283797   0.85 1.731169    0.0507137  0.74    1.66926    0.06252718 0.74 2.992393  0.04834424 0.93    2.208141    0.2175159 0.69 3.523094  0.2821424 0.69 4.084253    0.3224947 0.8  3.728389   0.2773116 0.47  3.958538   0.09783534 0.51    4.556779   0.5336243 0.72 3.867888    0.5451131 0.71 4.564868   0.3426583  0.67 6.996536   0.6280176 0.78 4.349998    0.4447384  1.0  6.37745    0.1460677 0.83    6.181758   0.1606644 0.84    12.10469    1.661965 0.84    6.14034    1.619951 0.8     1.0864  0.4707      0.5149   0.7969    0.5149    -1.0   0         3.96        3.54    2.93    -13.3       0.04       3.463       0.0        0     0.0080       0.0040       0.015        0.025        0           0          1        0         6.0        4.0        6.0        0.09573658820753322  
  AEGIS 9995     27585   214.760803 52.794075 1.273     ae2_03   0      27585 30020.1 7597.3 214.76083374 52.79409027 3.186215    0.03027354  2.920821    0.04948684  6.863335  0.1198323  0.95    1.444591     0.03753749  0.64 1.488439     0.02213742  0.79 1.86262      0.05080672 0.76    1.747045    0.02494029  0.8  2.202446   0.03307897  0.76 2.728175    0.07658417 0.76    3.594544   0.07289658 0.63 5.387867  0.07083237 1.0     4.488341    0.2366463 0.68 5.48233   0.3090289 0.71 5.17594     0.3523684 0.77 5.385833   0.3255551 0.51  6.291659   0.1065982  1.0     7.858308   0.5767105 0.73 7.763113    0.5932017 0.73 7.619672   0.4057517  0.82 7.884604   0.6872261 0.77 8.025087    0.5245931  1.0  10.17064   0.1524331 0.83    8.495288   0.1659423 0.87    4.586685    1.704688 0.91    7.166693   1.66848  0.79    1.0552  0.5131      0.759    0.7905    0.9515    -1.0   0         3.5         5.77    4.53    56.4        0.03       5.937       0.0        0     0.062        0.056        0.058        0.035        0           0          1        0         6.0        8.0        6.0        0.08660100095041313  
