# FIELD    ID_V2.1D   ID_V4.0   RA_1         DEC_1      Z_MOSFIRE   MASKNAME   TARGET   id      x          y          ra_2          dec_2       SEflags   iso_area   fap_Ksall   eap_Ksall    apcorr      Ks_ratio   fapcirc09_Ksall   eapcirc09_Ksall   apcorr09   fcirc09_Ksall   ecirc09_Ksall   fauto_Ksall   flux50_radius   a_vector   b_vector   kron_radius   f_Ksall     e_Ksall     w_Ksall   f_B                     e_B                    w_B   f_G                      e_G                    w_G   f_I                    e_I                    w_I   f_IA427                  e_IA427               w_IA427   f_IA484                  e_IA484                w_IA484   f_IA505                 e_IA505               w_IA505   f_IA527                 e_IA527               w_IA527   f_IA624                 e_IA624               w_IA624   f_IA709                 e_IA709               w_IA709   f_IA738                 e_IA738               w_IA738   f_R                    e_R                    w_R   f_U                      e_U                    w_U   f_V                     e_V                    w_V   f_Rp                   e_Rp                   w_Rp   f_Z                    e_Z                   w_Z   f_Zp                  e_Zp                  w_Zp   f_Hl                  e_Hl                  w_Hl   f_Hs                  e_Hs                  w_Hs   f_J1                  e_J1                  w_J1   f_J2                  e_J2                  w_J2   f_J3                  e_J3                  w_J3   f_Ks                 e_Ks                  w_Ks   f_NB118      e_NB118     w_NB118   f_NB209      e_NB209     w_NB209   f_F125W    e_F125W     w_F125W   f_F140W    e_F140W    w_F140W   f_F160W    e_F160W     w_F160W   f_F606W                e_F606W                w_F606W   f_F814W               e_F814W                w_F814W   f_UVISTA_J           e_UVISTA_J            w_UVISTA_J   f_UVISTA_H             e_UVISTA_H            w_UVISTA_H   f_UVISTA_Ks          e_UVISTA_Ks           w_UVISTA_Ks   f_UVISTA_Y            e_UVISTA_Y            w_UVISTA_Y   f_IRAC_36            e_IRAC_36             w_IRAC_36   f_IRAC_45             e_IRAC_45             w_IRAC_45   f_IRAC_58             e_IRAC_58            w_IRAC_58   f_IRAC_80              e_IRAC_80            w_IRAC_80   wmin_optical   wmin_hst_optical   wmin_fs   wmin_jhk   wmin_hst   wmin_irac   wmin_all   star   nearstar   use   snr        Separation             
  COSMOS   1446       1538      150.156525   2.195583   2.4358      co2_01     1        1527    2155.439   549.444    150.1565247   2.1955898   0         128.0      3.959934    0.0916312    1.14991     2.205847   4.154311          0.08643889        1.646582   6.840412        0.1423287       7.596255      2.809           2.83       2.512      6.212         8.735007    0.2448643   0.87      1.926495528             0.024100221630000005   1.0   2.29059558               0.033002353799999995   1.0   2.96079014             0.03916953436          1.0   1.739538                 0.094251485           1.0       2.3577569400000002       0.08187472859999999    1.0       2.537876813             0.09643146159         1.0       2.461366523             0.07695579892         1.0       2.928917838             0.08101808143         1.0       2.882274364             0.09974819173         1.0       2.9725880169999996      0.11802715959999999   1.0       2.825634131            0.03425792545          1.0   1.2065820803             0.04849349471000001    1.0   2.655359778             0.04199454876          1.0   2.933904               0.038214624            1.0    3.202783792            0.11442148639999998   1.0   3.2059489599999997    0.1409528512          1.0    7.712732091           0.2959872927          1.01   7.233660132000001     0.2901876768          0.93   3.4796351999999997    0.16078624            0.67   3.7120696079999997    0.1422925244          0.73   4.820992425000001     0.205847664           0.78   8.115931799999998    0.3229709575          0.71   3.888525     0.3228201   1.06      6.350428     0.6545902   1.12      4.87931    0.160347    0.53      -99.0      -99.0      0.0       6.85813    0.152333    0.53      2.6411250149999996     0.06701465892          1.3       2.93932548            0.07713864873          1.17      4.9298069700000005   0.16921009890000002   1.02         7.5504765              0.25379592            1.01         8.754345684          0.2208223152          1.01          3.539462084           0.1127699216          1.02         9.82553448           0.1516724288          1.14        10.0592537292         0.16769324285999998   1.13        -1.5326910517         4.3963555513         1.1         2.4157307529999996     6.1793916725999996   0.85        0.67           1.17               0.67      1.01       0.0        1.05        0.0        0      0          1     48.06067   0.02450377701562358    
  COSMOS   3284       3324      150.148407   2.213131   2.3072      co2_01     1        3428    2350.315   970.214    150.1483917   2.2131219   0         257.0      5.608618    0.08030956   1.091225    2.907917   4.977649          0.0756868         1.646582   8.196105        0.1246245       14.94595      3.928           3.971      3.33       8.473         16.3094     0.2994321   1.14      1.255398135             0.03169268478          1.0   1.5150681000000001       0.043533555            1.0   2.324325784            0.0517969298           1.0   1.076796435              0.12467412000000001   1.0       1.6638236999999998       0.10753082550000001    1.0       1.711435217             0.127432951           1.0       1.8630483409999998      0.10170027174999999   1.0       2.1802990330000003      0.1061935391          1.0       2.19549906              0.1317674579          1.0       2.05608571              0.15600989669999998   1.0       2.1582683879999998     0.045272508860000005   1.0   0.6194633172             0.06419358124          1.0   1.8807544379999996      0.055423091279999996   1.0   2.08130256             0.0505215168           1.0    3.107655408            0.151296704           1.0   2.92902048            0.1858286464          1.0    11.36014773           0.3684397926          1.14   10.044071760000001    0.3378600444          1.19   4.10652               0.159212928           1.2    4.220007441           0.149048029           1.15   7.49536355            0.22230700700000003   1.15   16.232672            0.3350605795          1.14   5.276532     0.4085745   1.15      12.46047     0.8870178   1.06      6.34813    0.155091    0.99      8.22007    0.277286   1.1       9.80986    0.144968    1.0       1.8982588109999998     0.09564234917999999    1.1       2.310421698           0.1079513604           1.04      7.146383832000001    0.22463348940000002   1.01         10.018491000000001     0.33415452            1.01         15.52228992          0.2916549648          1.01          3.945614524           0.149525914           1.01         18.344716000000002   0.149589424           1.22        20.881490876999997    0.16336435049999998   1.2         32.680421815          4.6900211084         1.19        8.334945983399999      5.885842628999999    1.14        1.0            1.04               1.14      1.01       0.99       1.14        0.99       0      0          1     65.7664    0.06405075978723902    
  COSMOS   936        1014      150.149673   2.191054   2.1003      co2_01     1        1217    2320.636   440.762    150.1496277   2.1910625   0         392.0      17.08956    0.1038361    1.083958    2.633674   16.77573          0.09790416        1.646582   27.6226         0.1612072       41.52223      3.604           4.408      3.347      8.95          45.00834    0.4117461   0.68      3.5930797830000003      0.0288033723           1.0   4.5676137                0.039407589            1.0   8.573642308            0.04681996264          1.0   3.9668479500000005       0.11226346350000001   1.0       3.9774279299999997       0.097873881            1.0       4.522364136999999       0.11520232339999999   1.0       5.267484915             0.09186079748999999   1.0       7.03093402              0.09706831629         1.0       7.80388691              0.11921030640000001   1.0       8.096119829             0.14062799729999997   1.0       6.709301684            0.040907017510000004   1.0   3.0531387190000006       0.057976406060000006   1.0   5.713723056             0.05005555056          1.0   6.80804352             0.045575467200000004   1.0    10.6867384             0.1365462592          1.0   11.255474240000002    0.16808519360000002   1.0    34.074332819999995    0.47589307379999995   0.56   31.541637840000003    0.4709146716          0.51   13.7695056            0.277392864           0.32   17.17795196           0.24977884230000003   0.34   24.755706800000002    0.3439096305          0.4    44.093773799999994   0.5409337865          0.36   22.973       0.4884591   0.66      37.11259     0.974763    0.72      22.1816    0.138532    1.01      -99.0      -99.0      0.0       30.4076    0.130395    1.03      5.912340545999999      0.07378881195          1.53      9.08677692            0.08247707675999999    1.46      23.10278787          0.2030957361          1.01         31.979052              0.30306444            1.01         42.99676632          0.26598461760000003   1.0           12.87258428           0.13520518880000001   1.01         63.62008712          0.1683710512          1.24        72.80368699499999     0.20069214399         1.14        62.873725215          4.6336493016         1.11        39.923575064           6.649658691199999    0.94        0.32           1.46               0.32      1.0        0.0        1.06        0.0        0      0          1     171.3484   0.16580884480275954    
  COSMOS   987        1065      150.150864   2.19133    -1.0        co2_01     0        1219    2291.088   447.307    150.1508636   2.1913352   3         204.0      11.21811    0.1035925    1.119383    2.224372   11.23656          0.09769144        1.646582   18.50192        0.1608569       22.29198      2.991           3.385      2.763      7.126         24.95326    0.3194577   0.68      0.26191813890000004     0.024323645520000003   1.0   0.28804191               0.0332847528           1.0   1.403833772            0.03953792612          1.0   0.17931846               0.09482928250000001   1.0       0.34176111899999995      0.08265516419999999    1.0       0.1904478815            0.09728540374999999   1.0       0.25419081379999997     0.07757724051         1.0       0.6818879639000001      0.08195825165         1.0       0.8670426684            0.10066414899000001   1.0       1.048787047             0.11879291199999999   1.0       0.6570776486000001     0.03454977379          1.0   0.29693013170000004      0.048949051810000005   1.0   0.40935278519999996     0.042283499940000004   1.0   0.63253128             0.038498712000000004   1.0    2.330824288            0.11531320319999999   1.0   2.385633024           0.1419880192          1.0    13.27249956           0.3788060838          0.63   11.69724396           0.382774764           0.55   4.1991033600000005    0.220872704           0.36   5.28492185            0.1995018155          0.38   6.605694205000001     0.283438317           0.42   24.14963635          0.44470084            0.38   6.189359     0.4034792   0.69      20.39452     0.785954    0.79      6.94986    0.116445    1.02      -99.0      -99.0      0.0       11.2092    0.110191    1.03      0.4928709614999999     0.06315874935          1.49      1.71505971            0.06941811240000001    1.47      6.54365151           0.17236150470000003   1.0          12.988547250000002     0.25724328            1.0          24.24311928          0.22449933000000002   1.0           4.151450728           0.11420284480000001   1.01         54.93802544          0.1636135504          1.2         55.29325908599999     0.18944985267         1.14        51.05515771500001     4.524816103200001    1.09        40.55641839            6.496366355799999    0.94        0.36           1.47               0.36      1.0        0.0        1.04        0.0        0      0          1     115.021    0.018775222189677778   
  COSMOS   4295       4205      150.139938   2.220209   -1.0        co2_01     1        4072    2553.69    1139.813   150.1399231   2.2201893   3         57.0       1.136585    0.0866734    1.149272    2.025976   1.018852          0.08170681        1.646582   1.677623        0.1345369       2.003612      2.965           2.364      1.861      6.23          2.302694    0.2325348   0.98      1.0462580562000001      0.02211453732          1.0   1.11232758               0.0303466878           1.0   1.257617372            0.03616520115999999    1.0   0.95283688               0.086876403           1.0       1.029473802              0.0749497539           1.0       1.136999378             0.08875256588         1.0       1.10163207              0.07085067065999999   1.0       1.0394081830000002      0.07400398269         1.0       1.325349802             0.09181716176         1.0       1.0732688400000001      0.1088047051          1.0       1.167902284            0.03158450853          1.0   0.9940442117             0.04469635801          1.0   1.069976622             0.038553970439999995   1.0   1.1529048000000002     0.0352367616           1.0    1.215525376            0.10539341279999999   1.0   1.217450144           0.1294195648          1.0    1.7823270359999999    0.3516498537          0.61   1.7342678280000001    0.31103436240000004   0.69   1.65004512            0.12804827200000002   0.9    1.6625070800000001    0.12303151249999998   0.82   2.012059195           0.1842458895          0.81   2.33273925           0.2640022195          0.89   1.600678     0.4317053   0.5       1.801641     1.091184    0.34      1.88737    0.106038    1.03      2.30678    0.194854   1.08      2.88815    0.0997972   1.02      1.1478721979999997     0.056485375889999995   1.53      1.163853639           0.06304633686          1.48      1.8391540050000001   0.1566252459          1.01         1.88605305             0.2325960525          1.01         1.900078272          0.20445635520000002   1.0           1.8696056             0.1041383552          1.01         2.7550934880000004   0.183951772           1.18        2.183908077           0.19579647203999997   1.19        -2.1178611998         4.974075234300001    1.18        14.002714666           6.5538360458         1.07        0.61           1.48               0.61      1.0        1.02       1.13        0.34       0      0          1     12.46961   0.08889644449496864    
  COSMOS   4677       4557      150.136398   2.22527    -1.0        co2_01     1        4695    2638.009   1262.43    150.1363983   2.2252984   0         256.0      7.517922    0.09428795   1.094687    2.948346   6.940988          0.08891163        1.646582   11.4289         0.1464003       20.24819      3.906           4.228      2.978      8.268         22.16544    0.341955    0.83      0.9087057681            0.032221386840000005   1.0   1.0419357                0.0441742002           1.0   2.097524836            0.05268121716          1.0   0.704087525              0.126376785           1.0       1.0128088530000001       0.1091738361           1.0       1.182977558             0.12909723159999997   1.0       0.8550344264            0.10306605078         1.0       1.116509757             0.1077808655          1.0       1.377808988             0.1335945057          1.0       1.5107606079999998      0.1584124955          1.0       1.226673219            0.04601015505          1.0   0.8108494338             0.06495151902          1.0   1.088864208             0.05603901108          1.0   1.20404064             0.0513062928           1.0    3.003869232            0.153304632           1.0   3.156698528           0.1883896352          1.0    15.04159716           0.6859511061          0.34   12.031183799999999    0.611933424           0.38   4.65369488            0.21114296            0.7    6.493291727           0.209204281           0.6    8.73904631            0.33105503599999997   0.53   22.382575            0.45666515999999996   0.63   8.752868     1.077438    0.17      14.49741     2.39076     0.15      7.85028    0.155869    1.01      9.9308     0.281131   1.1       12.2764    0.145205    1.02      1.1643541739999999     0.09972935147999999    1.04      2.2116122729999996    0.10991880899999999    1.03      8.170647363          0.22904904510000001   1.0          13.68380475            0.33984625500000004   1.0          22.67566704          0.2974953852          1.0           3.9732332680000004    0.15225848720000001   1.0          58.82179816000001    0.15581276240000003   1.13        78.58261043099999     0.16557732125999997   1.12        94.278906032          4.617325124800001    1.17        58.934759996           6.560014433999999    0.95        0.34           1.03               0.34      1.0        1.01       1.12        0.15       0      0          1     78.06613   0.10224569546614544    
  COSMOS   1090       1163      150.139313   2.191413   -1.0        co2_01     1        1122    2568.474   449.273    150.1392975   2.1914184   0         48.0       1.009073    0.1126441    1.171236    2.117409   1.004964          0.1062211         1.646582   1.654756        0.1749017       1.824244      2.788           2.003      1.714      5.762         2.13662     0.2793935   0.58      0.3695577138            0.023200901580000002   1.0   0.295926774              0.0316493736           1.0   0.7788202752           0.03766001096          1.0   0.5321990950000001       0.0903717465          1.0       0.442596693              0.0786941085           1.0       0.311356464             0.09267020902         1.0       0.1634620295            0.07395830057         1.0       0.2247590048            0.07808423326000001   1.0       0.3652645723            0.09593572495         1.0       0.5492176767            0.11313383969999999   1.0       0.33804102259999996    0.03287237986          1.0   0.4101577938             0.04673953781          1.0   0.24468136199999999     0.040209685860000004   1.0   0.262568448            0.036601478400000005   1.0    1.08459416             0.1099772128          1.0   0.936835456           0.1349640256          1.0    1.845516021           0.5623877859          0.26   1.187006916           0.5644933788000001    0.23   0.6266388479999999    0.30631272            0.17   0.990742948           0.27582240399999997   0.18   0.9271041090000001    0.450792452           0.15   2.7231560299999997   0.652758748           0.16   0.8886743    0.6652411   0.23      3.696325     1.256692    0.28      1.12087    0.111873    1.0       -99.0      -99.0      0.0       1.49014    0.104705    1.02      0.3952000302           0.06578399118          1.24      0.9248484492          0.07108704486          1.27      1.2224867670000001   0.16436875410000001   1.0          1.2747750750000002     0.2448333825          1.0          1.862213832          0.2147891832          1.0           0.8496506772000001    0.1091639836          1.0          2.5026386720000002   0.16331508            1.23        1.8737329220999999    0.19624339799999996   1.1         1.5318328882          4.1795041589         1.18        -3.3564075391999997    5.3360855653999995   1.07        0.15           1.24               0.15      1.0        0.0        1.13        0.0        0      0          1     9.461061   0.05905083381498485    
  COSMOS   3106       3146      150.132599   2.21209    2.1065      co2_01     1        3384    2728.085   941.689    150.1326447   2.2119355   2         408.0      8.507921    0.09530579   1.070162    3.619958   6.988203          0.08986373        1.646582   11.50665        0.1479679       28.77912      4.804           5.467      3.429      10.088        30.79832    0.4321616   0.81      0.31821928380000003     0.03956756913          1.0   0.4650711                0.0542062092           1.0   1.0561606000000001     0.0645517818           1.0   0.3726101                0.155610085           1.0       0.37101409799999996      0.133936194            1.0       0.7128744120999999      0.1584498744          1.0       0.7539517986            0.126672392           1.0       0.7356646582999999      0.1322802063          1.0       1.069988948             0.1639243103          1.0       0.9274213689999999      0.19452136759999997   1.0       0.756094685            0.056314398            1.0   0.37682888880000004      0.07997000772000001    1.0   0.6945627882            0.06886104498          1.0   0.7664940480000001     0.0628009584           1.0    1.711246576            0.18846796799999999   1.0   1.707379168           0.23069097600000002   1.0    17.08663131           0.7314171084          0.45   15.1680084            0.7295074464000001    0.4    2.71172816            0.279987072           0.6    4.463491512999999     0.26401137880000003   0.57   7.228564665           0.419332289           0.5    31.232331900000002   0.6180147265          0.52   6.072225     0.9641992   0.32      25.63425     1.820432    0.39      6.73251    0.194056    0.98      10.3518    0.352685   1.05      13.4349    0.181671    0.98      0.7962712568999999     0.10514161019999999    1.41      1.15842519            0.1115978409           1.51      7.172356023000001    0.2831591925          0.99         16.2263325             0.4182826725          1.0          30.818458440000004   0.3663350676          1.0           2.5815680480000003    0.1860928664          1.01         82.48297624          0.16631267440000003   1.08        123.64594046999999    0.18141663968999996   1.14        182.03093163000003    5.0449093544         1.3         224.06083945999998     6.779699857999999    1.05        0.4            1.41               0.4       0.99       0.98       1.25        0.32       0      0          1     77.76446   0.5799870235577594     
  COSMOS   2335       2672      150.129608   2.207168   2.3074      co2_01     1        2806    2803.902   827.71     150.1294861   2.2071869   3         237.0      6.045754    0.09195606   1.09037     2.89473    5.605447          0.08673886        1.646582   9.229826        0.1428226       16.05035      3.951           3.846      3.309      8.526         17.50083    0.3449773   0.87      2.391090369             0.03168239316          1.0   2.77062318               0.0433188912           1.0   3.798398604            0.051576133839999996   1.0   2.4966997500000003       0.12453434000000001   1.0       3.08024976               0.1071468405           1.0       2.732377466             0.1266396655          1.0       2.832068932             0.10132346147         1.0       3.482127143             0.105891907           1.0       3.89165237              0.13103238039999998   1.0       3.6920610159999994      0.15558853029999997   1.0       3.575660876            0.04498222644          1.0   1.458341305              0.06398591175000001    1.0   3.362614614             0.05503592838          1.0   3.48171504             0.050138568            1.0    4.492401264            0.15076095839999998   1.0   4.522598496           0.1842969344          1.0    13.43136918           0.46872357299999995   0.7    12.2635062            0.4574550828          0.65   5.83598224            0.21654902399999998   0.64   6.17895889            0.1977091051          0.65   9.554146935           0.30114443            0.62   17.08927285          0.46839302299999996   0.58   6.545732     0.5495104   0.63      12.96501     1.036015    0.77      8.63031    0.155046    0.98      9.95459    0.245588   1.38      12.5617    0.146003    0.97      3.2953904489999997     0.08438051132999999    1.4       4.047700176           0.09400597596          1.36      8.87019714           0.2242435761          1.01         13.27702425            0.3329345775          1.01         17.705257200000002   0.2933322336          1.0           5.626340808           0.14874706920000003   1.01         20.51917976          0.1694975464          1.11        21.374275688999997    0.18862472654999998   1.16        29.118320626000003    5.2271772596         1.11        20.869131898           6.348280657999999    1.07        0.58           1.36               0.58      1.0        0.97       1.06        0.58       0      0          1     64.6244    0.44376158247770037    
  COSMOS   5791       5640      150.121109   2.235422   2.4354      co2_01     1        5449    3004.559   1505.156   150.1211243   2.2354133   0         54.0       1.246102    0.08578252   1.275049    2.180883   1.529876          0.08088185        1.646582   2.519065        0.1331786       2.131371      2.23            2.136      1.749      4.504         2.717603    0.170685    1.0       2.3700882840000004      0.02391676752          1.0   2.39723796               0.0327112344           1.0   1.9618470520000002     0.039005201839999996   1.0   3.1996365                0.09351739900000001   1.0       2.4250043999999997       0.081094293            1.0       2.347304812             0.09531438609         1.0       2.3734933529999998      0.07612759693         1.0       2.200681747             0.07997820225999999   1.0       2.0961976940000002      0.09856943159         1.0       2.346099238             0.11727660069999998   1.0       2.14501679             0.03408802313          1.0   1.828273531              0.04779166369000001    1.0   2.3109758159999996      0.04129933278          1.0   2.22674832             0.0378988896           1.0    1.864224752            0.11329901440000001   1.0   2.252155264           0.1392376704          1.0    6.266281425           0.2917371909          1.03   2.3716433880000003    0.28317172920000006   0.98   1.8456647999999998    0.13791953599999998   0.89   1.720519034           0.12267992490000001   0.95   2.404752165           0.17936369650000003   0.98   2.437012745          0.278568577           0.93   2.433328     0.322221    1.04      3.566794     0.6849132   1.0       2.11655    0.115743    1.0       2.14632    0.221914   0.97      2.36698    0.10912     0.99      2.268037626            0.061122758459999996   1.52      2.054711646           0.0645082308           1.63      2.221882704          0.16960284450000002   1.0          3.7935324000000006     0.24966427500000002   1.01         2.8190995560000003   0.2200630896          1.0           1.9370361680000001    0.1121120624          1.01         2.3966439520000002   0.143325528           1.24        2.5748068904999997    0.17544020246999997   1.0         9.8117586793          4.9008442786         1.11        2.0996728356           5.568917643599999    1.14        0.89           1.52               0.89      1.0        0.97       1.06        0.89       0      0          1     18.91495   0.06332561156013472    
