# FIELD ID_V2.1D ID_V4.0 RA_1      DEC_1     Z_MOSFIRE MASKNAME TARGET id    x        y        ra_2       dec_2      SEflags iso_area fap_Ksall eap_Ksall  apcorr   Ks_ratio fapcirc09_Ksall eapcirc09_Ksall apcorr09 fcirc09_Ksall ecirc09_Ksall fauto_Ksall flux50_radius a_vector b_vector kron_radius f_Ksall  e_Ksall   w_Ksall f_u                  e_u                 w_u f_B                e_B                  w_B f_V                 e_V                  w_V f_R                e_R                  w_R f_i                e_i                  w_i f_z                e_z                  w_z f_J1               e_J1                w_J1 f_J2               e_J2                w_J2 f_J3               e_J3                w_J3 f_Hs    e_Hs     w_Hs f_Hl               e_Hl                w_Hl f_Ks               e_Ks                w_Ks f_J                e_J                 w_J f_H                e_H                 w_H f_K                e_K                 w_K  f_KsHI             e_KsHI              w_KsHI f_F125W e_F125W  w_F125W f_F140W e_F140W  w_F140W f_F160W e_F160W   w_F160W f_F606W            e_F606W             w_F606W f_F814W            e_F814W             w_F814W f_Y                e_Y                 w_Y  f_IRAC_36          e_IRAC_36           w_IRAC_36 f_IRAC_45          e_IRAC_45           w_IRAC_45 f_IRAC_58           e_IRAC_58          w_IRAC_58 f_IRAC_80          e_IRAC_80          w_IRAC_80 wmin_optical wmin_hst_optical wmin_fs wmin_jhk wmin_hst wmin_irac wmin_all star nearstar use snr      Separation          
  UDS   26090    35270   34.406558 -5.158031 -1.0      ud1_01   1      15871 542.878  3807.752 34.4065704 -5.1580276 0       171.0    5.474085  0.05790971 1.090991 2.173256 6.390332        0.05855492      1.771907 11.32307      0.1037539     10.90438    2.564         3.09     2.638    8.565       11.89659 0.2229953 1.24    -0.0360770583        0.07323516105       1.0 0.132499062        0.01254534192        1.0 0.221574845         0.0154060604         1.0 0.2482937552       0.019812175199999997 1.0 0.4055792727       0.020090325989999998 1.0 0.8545092489       0.05664187639        1.0 1.378018232        0.17589191380000002 0.74 3.0745386          0.1605517074        0.7  4.944453555000001  0.20322701340000002 0.68 6.92574 0.339245 0.6  8.696284632000001  0.33539999400000003 0.65 11.6787189         0.5206342979999999  0.88 4.830155694        0.1559131882        1.0 7.450859043        0.31532335860000005 1.0 12.57465384        0.2096504073        0.88 11.91271484        0.2669994657        0.92   4.31263 0.105153 0.98    5.70893 0.212145 0.77    6.87553 0.0990161 0.96    0.1996097976       0.06376270002       1.49    0.5155734473000001 0.07766811751       1.1     1.101984568        0.08582116620000001 0.69 19.820826768000003 0.11893086724       1.04      22.832708976000003 0.14407343328       1.06      16.521078371999998  3.0620003426999998 1.0       26.757148941       4.4124745124       1.0       0.6          1.1              0.6     0.69     0.77     1.0       0.6      0    0        1   109.134  0.046113347840623944
  UDS   21198    28791   34.427343 -5.179997 1.608     ud1_01   1      13370 49.463   3281.274 34.4272156 -5.179966  2       154.0    5.816363  0.05547264 1.084289 2.193002 6.89292         0.05610153      1.771907 12.21361      0.09940671    11.76374    2.716         3.037    2.897    8.899       12.75529 0.2220328 1.36    0.4753228917         0.07268574213       1.0 0.6995932559999999 0.0126022176         1.0 0.6806419794999999  0.01564786195        1.0 0.7930615439999998 0.02015254896        1.0 1.073258466        0.02061549084        1.0 1.611108696        0.056730196829999996 1.0 -99.0              -99.0               0.0  -99.0              -99.0               0.0  -99.0              -99.0               0.0  -99.0   -99.0    0.0  -99.0              -99.0               0.0  -99.0              -99.0               0.0  4.5654156519999995 0.158700367         1.0 7.44910257         0.3207640061        1.0 14.39837559        0.20125970370000001 0.96 14.98088997        0.21882112189999997 1.35   4.77974 0.104361 1.03    6.04605 0.186931 1.03    7.84139 0.0966008 1.0     0.7893620064       0.07124622888       1.21    1.149500246        0.08435123784       0.94    2.83116944         0.06935457076       1.09 44.821000274000006 0.13116768251       0.98      57.456787136       0.14200248104000002 1.09      -217.1072           -217.1072          -99.0     -217.1072          -217.1072          -99.0     0.0          0.94             0.0     0.96     1.0      0.0       0.0      0    0        0   122.8651 0.4702026962513403  
  UDS   20587    27928   34.423201 -5.182926 1.42      ud1_01   1      13003 145.352  3210.357 34.4232025 -5.1829209 3       314.0    11.04419  0.05341708 1.056493 2.638709 11.2185         0.05401922      1.771907 19.87815      0.09571704    27.58408    3.54          3.919    3.313    10.81       29.14239 0.2628563 1.46    0.25096872540000004  0.08815997496       1.0 0.5087607948       0.01517875308        1.0 0.5412988945        0.01882493985        1.0 1.050355328        0.024235584799999994 1.0 1.806527856        0.024682453740000002 1.0 3.37575908         0.06817278921999999  1.0 5.800236518000001  1.887577438         0.01 6.645470391        1.190259252         0.02 12.26067287        2.035253167         0.01 15.2588 3.37541  0.01 -99.0              -99.0               0.0  30.921262499999997 4.241429429999999   0.02 10.119409439999998 0.19008181919999997 1.0 19.48734988        0.3825277831        1.0 30.341556990000004 0.24366822840000002 0.95 28.2649277         0.2619159369        1.37   9.71325 0.12692  0.99    12.9526 0.232992 0.95    16.5261 0.114159  1.03    0.7066766346000001 0.09668629776       0.95    2.141995917        0.1134386399        0.75    6.228387252000001  0.08242544228       1.09 55.692094076000004 0.129425954         0.99      63.00971460000001  0.15697205986       1.05      -261.2322           -261.2322          -99.0     -261.2322          -261.2322          -99.0     0.0          0.75             0.0     0.95     0.95     0.0       0.0      0    0        0   207.6762 0.019131430641010597
  UDS   23480    31902   34.397364 -5.170283 1.3656    ud1_01   1      14553 763.078  3514.048 34.3973541 -5.1702666 3       148.0    4.088537  0.05384614 1.089587 2.31358  4.572421        0.0544256       1.771907 8.101906      0.09643711    8.681412    2.86          3.253    2.544    8.63        9.459156 0.2092518 1.44    3.0994549260000004   0.078239712         1.0 3.3822332279999996 0.013348990799999998 1.0 3.3061526999999997  0.01638149405        1.0 3.4762223039999993 0.021130605919999997 1.0 3.7384087860000004 0.02139524541        1.0 5.870991348        0.06012923494        1.0 7.764120212000001  0.1493552352        1.15 9.004978521        0.1322760159        1.15 8.182296623000001  0.16584441760000002 1.14 10.3216 0.264716 1.1  8.897737653        0.272443986         1.11 9.939385919999998  0.45823556249999997 1.29 8.703296112        0.1673953582        1.0 9.023255882        0.33713455540000004 1.0 9.689299056000001  0.22561575840000003 0.87 9.674742043        0.2459772           1.23   8.16903 0.111423 1.0     8.38169 0.195948 1.05    9.12374 0.101363  1.05    3.378635046        0.06959437049999999 1.43    4.272851164        0.08991969963       0.93    7.37338224         0.07506680368       1.04 12.560681726       0.14304230061       1.11      11.180593830000001 0.16359744912000002 1.0       1.4314628993999998  3.0925915310999996 1.0       -5.7964101305      4.7117975427       1.0       1.0          0.93             1.1     0.87     1.0      1.0       0.87     0    0        1   84.01232 0.0688884314341666  
  UDS   20166    27391   34.412136 -5.184348 1.6652    ud1_01   1      12947 409.765  3176.44  34.4121399 -5.1843348 0       112.0    2.19598   0.05761852 1.109027 2.275469 2.425103        0.05826596      1.771907 4.297057      0.1032419     4.505649    2.828         2.678    2.536    7.818       4.996886 0.2023251 1.26    1.8705205230000002   0.07683070592999999 1.0 2.028860748        0.013131900359999999 1.0 2.022168305         0.0161775174         1.0 1.982408           0.020873565759999997 1.0 2.047093566        0.021107409960000004 1.0 2.103944744        0.05884808901        1.0 3.3790319880000004 0.3157016332        0.26 3.6642153869999996 0.30795909479999994 0.22 4.418065312        0.3655437145        0.23 3.30805 0.657328 0.18 5.773618143        0.59698593          0.23 6.940964654999999  0.9393629625        0.3  3.9312328579999996 0.1635795028        1.0 5.085773672        0.32809700470000003 1.0 4.6582868070000005 0.21436199640000003 0.92 5.069053237        0.2603873643        1.04   4.2269  0.105951 1.05    4.38634 0.197657 0.98    4.01845 0.0977503 1.06    1.9933979339999999 0.0767857275        1.12    2.036159552        0.08354940537       1.03    3.441263216        0.07929637319999999 0.87 5.3761436534       0.1316232627        0.96      5.7512286118       0.15078898408000002 0.91      4.7841747234        3.1377190214999997 1.0       13.206604427       4.1917675661       1.0       0.18         1.03             0.18    0.87     0.98     1.0       0.18     0    0        1   41.62125 0.04953445772478975 
  UDS   22249    30198   34.396538 -5.175133 1.4194    ud1_01   1      13986 782.583  3397.491 34.3965378 -5.1751232 0       173.0    4.984153  0.05350681 1.090412 2.319794 5.855915        0.05410761      1.771907 10.37614      0.09587368    10.60352    2.768         3.092    2.653    8.592       11.56221 0.2067954 1.46    0.42123482640000004  0.07851710967       1.0 0.5222139083999999 0.013390863839999998 1.0 0.505620611         0.0164260505         1.0 0.8497439199999999 0.021215181759999997 1.0 1.223972442        0.021456833369999997 1.0 2.122438085        0.06020166969        1.0 3.601109648        0.1513610646        1.13 4.220220123        0.13302873359999998 1.15 4.592567652        0.1668594633        1.13 9.38487 0.266899 1.09 8.748517023        0.277169823         1.08 12.608962349999999 0.46875357749999996 1.24 4.589606854        0.1680297612        1.0 9.542475929000002  0.337971918         1.0 12.337543620000002 0.22639697640000003 0.87 11.37068651        0.2404212388        1.29   4.44669 0.110073 1.03    5.8012  0.194779 1.07    7.8031  0.101165  1.06    0.8972628288       0.07644964056       1.19    1.499415874        0.09538040254999999 0.83    3.2107742320000003 0.07410114408000001 1.07 23.310814360000002 0.12551717788       1.1       28.111447112       0.15158723608000002 0.94      21.441034250999998  2.6475578297999998 1.0       13.527806681000001 4.2908160168       1.0       1.0          0.83             1.08    0.87     1.03     1.0       0.83     0    0        1   108.2272 0.03528728641153631 
  UDS   21581    29268   34.397525 -5.178586 -1.0      ud1_01   1      13461 758.968  3314.529 34.3975258 -5.1785803 2       385.0    17.8822   0.05411203 1.062922 2.310509 21.19503        0.05471927      1.771907 37.55563      0.09695746    38.87114    2.755         3.688    3.177    10.269      41.31697 0.2520294 1.43    0.09698920869        0.07823446359       1.0 0.1568010996       0.013344288479999999 1.0 0.41471690499999997 0.01636290215        1.0 0.65610976         0.02115058528        1.0 1.56843351         0.021374160359999998 1.0 3.489786363        0.0599030387         1.0 8.510214344000001  0.15459767340000002 1.08 13.75522281        0.1360632231        1.1  19.042440590000002 0.1699891027        1.08 29.1898 0.27003  1.06 31.84934931        0.2776062132        1.07 42.1367208         0.48282793649999994 1.16 18.108273399999998 0.1673167132        1.0 30.660064740000003 0.3362662612        1.0 43.15479903        0.22414411260000003 0.88 41.4793695         0.24571267689999998 1.22   16.7924 0.110067 1.02    21.5225 0.163133 1.51    26.462  0.10019   1.07    0.534030486        0.0798251133        1.08    1.945042674        0.09549752747       0.82    6.343612216        0.07540825076       1.02 68.834901423       0.12849867517000002 1.08      77.044939454       0.15821610490000002 0.94      61.21082226         2.7140698107       1.0       37.497453598999996 4.2148338462       1.0       1.0          0.82             1.06    0.88     1.02     1.0       0.82     0    0        1   387.3413 0.02071948903924042 
  UDS   20773    28213   34.394763 -5.181505 1.3722    ud1_01   1      13201 823.182  3242.754 34.3948402 -5.181571  3       156.0    3.572514  0.05214722 1.076705 2.716696 2.74296         0.0527324       1.771907 4.860271      0.09343692    9.01401     3.924         3.98     2.427    9.324       9.705434 0.2193402 1.53    1.4719357860000002   0.09206978439       1.0 1.5678430559999998 0.01569757572        1.0 1.7711669700000001  0.01923246575        1.0 2.197926288        0.024887036159999997 1.0 2.633356026        0.02513985222        1.0 3.866037432        0.07034663099999999  1.0 6.159622036000001  0.183661015         1.06 7.344070460999999  0.1638059535        1.05 6.660145494        0.2023117415        1.05 9.74717 0.316367 1.07 8.347306905000002  0.3267218268        1.07 10.40375256        0.5963969745        1.05 7.228492642        0.1970696896        1.0 7.71268399         0.3959366317        1.0 9.950141412        0.2639587824        0.88 9.773982129999998  0.2712357397        1.38   6.61866 0.128802 1.03    7.65373 0.163433 2.08    8.35659 0.117341  1.08    1.97864751         0.09853756002       0.98    3.071758771        0.1115812043        0.83    5.430326712        0.08458104056000001 1.12 12.28548259        0.14924114451       1.05      12.037722032000001 0.18799612384       0.93      5.9315178729        3.0051273410999997 1.0       17.652436914       4.7862367512       1.0       1.0          0.83             1.05    0.88     1.03     1.0       0.83     0    0        1   52.0166  0.3647784333361939  
  UDS   21175    28712   34.395602 -5.180901 -1.0      ud1_01   0      13159 804.942  3258.916 34.3956032 -5.1808977 3       363.0    36.22251  0.05234033 1.07603  2.219128 43.29557        0.05293351      1.771907 76.71573      0.09379326    74.70274    2.599         3.297    2.956    9.366       80.38239 0.2208917 1.53    0.9697051923         0.07519115385       1.0 1.696843368        0.01282132332        1.0 3.9588886650000004  0.0157114377         1.0 9.549668239999999  0.020325634399999997 1.0 14.9076207         0.02053370046        1.0 23.100390920000002 0.05747992147        1.0 33.30534526        0.14928909760000003 1.07 37.86437025        0.1319340582        1.08 42.61216826        0.1645585573        1.06 63.0813 0.259571 1.06 67.48484895        0.26558066430000005 1.08 84.45561914999999  0.476045997         1.1  41.4076411         0.160902427         1.0 64.96088927        0.3232915597        1.0 83.97607878000001  0.21552432210000003 0.88 80.61385397        0.224912962         1.34   40.0461 0.104701 1.04    47.9977 0.135136 2.03    56.4103 0.0953919 1.09    6.400580886        0.08048531033999999 0.98    16.597330730000003 0.09114882116       0.83    30.506055760000002 0.07102069972000001 1.06 65.56094265700001  0.12550958661       1.06      55.03676339000001  0.15666196966       0.93      45.92155549499999   2.5682073153       1.0       60.730259547       4.128991926        1.0       1.0          0.83             1.06    0.88     1.04     1.0       0.83     0    0        1   817.9237 0.012635055327908009
  UDS   19443    26427   34.398653 -5.187982 1.4661    ud1_01   1      12476 731.994  3089.109 34.3986549 -5.1879735 2       174.0    5.895729  0.05447442 1.09101  2.255269 6.869056        0.05505968      1.771907 12.17133      0.09756064    12.18729    2.665         3.014    2.704    8.564       13.29646 0.2097793 1.41    1.2951667770000002   0.07648034256000001 1.0 -99.0              -99.0                0.0 -99.0               -99.0                0.0 -99.0              -99.0                0.0 -99.0              -99.0                0.0 -99.0              -99.0                0.0 7.48031757         0.15573441340000002 1.03 8.661501008999998  0.1381858254        1.04 9.385487202999999  0.1687592379        1.04 12.93   0.266716 1.05 12.25067247        0.2771470728        1.03 13.172298299999998 0.48841024799999994 1.08 9.316381073999999  0.1632712144        1.0 12.56883472        0.3277622806        1.0 13.662130410000001 0.2175343749        0.89 13.6224516         0.2443832287        1.16   8.47837 0.106051 1.04    9.24276 0.136686 2.03    10.8755 0.0966019 1.09    2.007728118        0.06678832296000001 1.46    3.175988119        0.07561783987       1.24    6.901790804        0.07388203992       1.0  18.199175511       0.12209861062       1.1       19.002573072       0.1544218494        0.96      20.1425214          3.1227459585       1.0       -223.2716          -223.2716          -99.0     0.0          1.24             1.03    0.89     1.04     0.0       0.0      0    0        1   124.7566 0.03134905199101673 
