# vuds_ident   alpha          delta        spmask_obs   quad   slit   obj   det   meanflux   sn      maxdel   rmsdel   z_spec   zflags   id_iau                     id_candels   magi     id      x          y          ra            dec         SEflags   iso_area   Kstot       eKstot      ksauto      Ks_flux_radius   Ks_rkron_circ   Kstot07     eKstot07    apcorr     B              eB           wB    G              eG           wG    Gp          eGp        wGp   Hl           eHl         wHl    Hs           eHs         wHs    I           eI           wI    IA427          eIA427       wIA427   IA464         eIA464       wIA464   IA484          eIA484     wIA484   IA505          eIA505       wIA505   IA527        eIA527       wIA527   IA574          eIA574       wIA574   IA624        eIA624       wIA624   IA679       eIA679       wIA679   IA709       eIA709       wIA709   IA738       eIA738       wIA738   IA767       eIA767       wIA767   IA827        eIA827      wIA827   J1          eJ1          wJ1    J2          eJ2          wJ2    J3          eJ3          wJ3    Ks2           eKs2        wKs2   Ks          eKs         wKs    NB118        eNB118      wNB118   NB209         eNB209      wNB209   R            eR           wR    Rp          eRp          wRp   U              eU           wU    V            eV           wV    Z           eZ           wZ    Zp          eZp          wZp   f_F125W    e_F125W     w_F125W   f_F160W    e_F160W     w_F160W   id_irac   CH1         eCH1      wCH1   CH2         eCH2      wCH2   CH3         eCH3     wCH3   CH4        eCH4     wCH4   wmin_optical   wmin_fs   wmin_jhk   wmin_hst   wmin_irac   wmin_all   starflag   nearstar   nearsource   snr        snrflag   use   Separation             
  5100997733   150.14434814   2.2668879    F51P006      2      1      1     OK    3.943      3.922   0.619    0.296    3.0019   3        VUDS-J100034.64+021600.7   -99.9        24.444   5677    2447.129   2260.713   150.1443634   2.2668903   0         38.0       3.104805    0.3977612   2.914714    3.265            6.752058        1.503966    0.1670193   1.065218   0.3891346      0.01042632   1.0   0.5492607      0.01779057   1.0   188.4225    16.43184   1.0   1.005862     0.1499052   0.91   1.386398     0.1452955   1.0    0.8687056   0.01928507   1.0   0.3606575      0.04116949   1.0      0.4093892     0.09642278   1.0      0.5393109      0.039057   1.0      0.6753451      0.04927125   1.0      0.7322313    0.03507106   1.0      0.7709457      0.07952184   1.0      0.8281004    0.04436093   1.0      1.020402    0.07887795   1.0      0.8812404   0.05256988   1.0      0.8097557   0.06145759   1.0      0.7777182   0.07401201   1.0      0.5272614    0.1023235   1.0      0.8196428   0.0687125    1.1    0.6785085   0.06977506   1.06   0.8486089   0.09016749   1.04   0.6861109     0.3947617   1.0    1.25487     0.1321636   1.13   1.13634      0.194826    0.85     1.640059      0.4459809   0.73     0.7914736    0.01646952   1.0   0.8132743   0.02084826   1.0   0.1309638      0.02231845   1.0   0.8171434    0.02269451   1.0   0.8287353   0.06273078   1.0   0.808064    0.07932358   1.0   0.715705   0.0252832   1.02      1.05493    0.023647    1.01      5677      1.9638      0.34434   0.84   1.4159      0.47836   0.8    4.0153      2.992    0.71   -2.0241    3.4914   0.8    1.0            0.73      1.0        1.01       0.71        0.71       0          0          0            9.004744   1         1     0.055568803729441396   
  5110334085   150.14517212   2.329422     F51P006      2      2      1     OK    0.288      0.627   2.017    1.187    4.1292   1        VUDS-J100034.84+021945.9   12527.0      24.937   9785    2427.703   3761.754   150.1451874   2.3294306   0         23.0       1.821611    0.1980087   1.445053    1.814            3.410661        1.661024    0.1610649   1.260584   0.01790104     0.01042632   1.0   0.07060695     0.01779057   1.0   36.63211    16.43184   1.0   0.8838747    0.1422907   1.01   0.7444259    0.1391678   1.09   0.5522068   0.01928507   1.0   -0.04015716    0.04116949   1.0      0.1413693     0.09642278   1.0      0.06060828     0.039057   1.0      0.05033017     0.04927125   1.0      0.1142537    0.03507106   1.0      0.09313035     0.07952184   1.0      0.199176     0.04436093   1.0      0.3374738   0.07887795   1.0      0.4785188   0.05256988   1.0      0.5717152   0.06145759   1.0      0.4494246   0.07401201   1.0      0.6497223    0.1023235   1.0      0.4963323   0.06497997   1.23   0.6154859   0.06613208   1.18   0.6087787   0.08537637   1.16   1.007919      0.3947617   1.0    0.94605     0.1266772   1.23   0.7683501    0.1852646   0.94     1.740683      0.4233847   0.81     0.280812     0.01646952   1.0   0.2699899   0.02084826   1.0   -0.007557531   0.02231845   1.0   0.1058631    0.02269451   1.0   0.6808019   0.06273078   1.0   0.6726575   0.07932358   1.0   0.545102   0.0251768   1.03      0.686437   0.0232484   1.05      9785      1.9275      0.26536   1.04   1.4418      0.41972   1.14   7.2903      2.6323   1.17   2.676      2.8986   1.2    1.0            0.81      1.0        1.03       1.0         0.81       0          0          0            10.31277   1         1     0.06308250840363512    
  5120996922   150.14660645   2.27185702   F51P006      2      3      1     OK    1.363      1.768   1.096    0.634    2.5595   2        VUDS-J100035.18+021618.6   7737.0       24.622   6021    2393.675   2381.474   150.1465912   2.2719214   0         39.0       2.430809    0.3002314   2.19331     3.213            5.159631        1.109192    0.1678131   1.108284   0.268091       0.01042632   1.0   0.3189182      0.01779057   1.0   118.7042    16.43184   1.0   1.528078     0.1451949   0.97   0.6419818    0.1398106   1.08   0.5304767   0.01928507   1.0   0.1276788      0.04116949   1.0      0.4668261     0.09642278   1.0      0.3843028      0.039057   1.0      0.3962452      0.04927125   1.0      0.3046506    0.03507106   1.0      0.3329988      0.07952184   1.0      0.4449922    0.04436093   1.0      0.6241504   0.07887795   1.0      0.4428584   0.05256988   1.0      0.4229884   0.06145759   1.0      0.43431     0.07401201   1.0      0.4334627    0.1023235   1.0      0.5789612   0.06840228   1.11   0.5097595   0.06977506   1.06   0.6938165   0.08931281   1.06   1.312206      0.3947617   1.0    1.040169    0.1321636   1.13   0.7923817    0.186258    0.93     1.105165      0.4182526   0.83     0.4675368    0.01646952   1.0   0.3838755   0.02084826   1.0   0.1788844      0.02231845   1.0   0.4000027    0.02269451   1.0   0.6199553   0.06273078   1.0   0.6141372   0.07932358   1.0   0.610793   0.0250515   1.04      0.684934   0.0232591   1.05      6021      0.56573     0.22414   0.94   0.82858     0.38008   0.8    0.24853     2.1391   1.05   -2.5107    2.9947   0.8    1.0            0.83      1.0        1.04       0.8         0.8        0          0          0            6.609687   1         1     0.23817153366786561    
  5100995119   150.14807129   2.28523111   F51P006      2      5      1     OK    0.802      0.906   0.634    0.331    3.0291   2        VUDS-J100035.53+021706.8   8833.0       24.884   6948    2358.219   2701.985   150.1480713   2.2852752   0         16.0       1.409533    0.2668368   1.013334    1.893            2.825617        1.217512    0.2462939   1.390985   0.1426723      0.01042632   1.0   0.2103937      0.01779057   1.0   97.35002    16.43184   1.0   0.5988193    0.2155813   0.44   0.8812523    0.2190412   0.44   0.6224542   0.01928507   1.0   0.1157937      0.04116949   1.0      0.1495822     0.09642278   1.0      0.3050678      0.039057   1.0      0.3202893      0.04927125   1.0      0.3388464    0.03507106   1.0      0.7065838      0.07952184   1.0      0.4769437    0.04436093   1.0      0.7543367   0.07887795   1.0      0.7261399   0.05256988   1.0      0.7420433   0.06145759   1.0      0.5994321   0.07401201   1.0      1.016825     0.1023235   1.0      0.5575302   0.09993794   0.52   0.7744208   0.1005931    0.51   0.8081532   0.1251324    0.54   0.5405743     0.3947617   1.0    0.903212    0.1948271   0.52   0.4234533    0.273919    0.43     0.6063864     0.5950943   0.41     0.4520518    0.01646952   1.0   0.5889243   0.02084826   1.0   0.09111751     0.02231845   1.0   0.4325281    0.02269451   1.0   0.7784274   0.06273078   1.0   0.7851621   0.07932358   1.0   0.812436   0.0215577   1.41      0.705451   0.0215565   1.22      6948      0.87817     0.4782    1.09   0.92699     0.47576   0.92   -2.1303     2.1281   1.06   3.6223     2.4654   0.94   1.0            0.41      1.0        1.22       0.92        0.41       0          0          0            4.94333    0         0     0.15872400407825923    
  5101238946   150.14840698   2.33748889   F51P006      2      6      1     OK    0.459      0.855   2.224    0.953    1.1891   1        VUDS-J100035.61+022014.9   13174.0      24.07    10254   2350.455   3953.878   150.148407    2.3374348   2         61.0       4.914315    0.4092427   4.655746    2.869            7.374342        2.845808    0.1562897   1.055538   0.1086536      0.01042632   1.0   0.1588135      0.01779057   1.0   36.25499    16.43184   1.0   2.17417      0.1289391   1.23   2.312374     0.1310085   1.23   1.008337    0.01928507   1.0   0.1012324      0.04116949   1.0      0.1282844     0.09642278   1.0      0.1307175      0.039057   1.0      0.2163344      0.04927125   1.0      0.21082      0.03507106   1.0      0.1032371      0.07952184   1.0      0.328893     0.04436093   1.0      0.7311274   0.07887795   1.0      0.7722956   0.05256988   1.0      0.7933235   0.06145759   1.0      0.9843273   0.07401201   1.0      1.203828     0.1023235   1.0      1.4227      0.06248939   1.33   1.661826    0.06349627   1.28   1.632165    0.08159524   1.27   2.278602      0.3947617   1.0    2.165608    0.1232195   1.3    1.659326     0.1682302   1.14     1.576437      0.3666619   1.08     0.385358     0.01646952   1.0   0.4029125   0.02084826   1.0   0.05445179     0.02231845   1.0   0.2717675    0.02269451   1.0   1.273147    0.06273078   1.0   1.373502    0.07932358   1.0   1.44505    0.0251251   1.04      1.80045    0.0233138   1.04      10254     1.8735      0.33429   1.01   1.3967      0.41681   1.08   1.9702      2.2128   1.11   5.0568     2.3569   1.06   1.0            1.0       1.0        1.04       1.0         1.0        0          0          0            18.20854   1         1     0.19472401328754455    
  5101002120   150.14956665   2.23819208   F51P006      2      7      1     OK    1.246      1.867   1.894    1.037    2.098    1        VUDS-J100035.89+021417.4   5043.0       24.972   3767    2321.746   1572.068   150.1495972   2.2381976   3         30.0       2.17515     0.2350204   1.772129    1.996            3.618219        1.827605    0.1818382   1.227422   0.3651388      0.01042632   1.0   0.4827911      0.01779057   1.0   164.9555    16.43184   1.0   1.052749     0.1619161   0.78   0.8906133    0.1614394   0.81   0.5845212   0.01928507   1.0   0.3659573      0.04116949   1.0      0.521364      0.09642278   1.0      0.4169222      0.039057   1.0      0.5245357      0.04927125   1.0      0.4470816    0.03507106   1.0      0.5946736      0.07952184   1.0      0.5245143    0.04436093   1.0      0.5718313   0.07887795   1.0      0.5871027   0.05256988   1.0      0.6039407   0.06145759   1.0      0.6689863   0.07401201   1.0      0.557281     0.1023235   1.0      0.7885365   0.07100901   1.03   0.9659316   0.07148131   1.01   1.002866    0.0938493    0.96   1.60352       0.3947617   1.0    1.285654    0.1433889   0.96   0.5375925    0.2131706   0.71     0.7916396     0.4726297   0.65     0.5407846    0.01646952   1.0   0.5525094   0.02084826   1.0   0.2670233      0.02231845   1.0   0.5499724    0.02269451   1.0   0.6199921   0.06273078   1.0   0.8793837   0.07932358   1.0   0.892779   0.0248502   1.06      1.22311    0.0230434   1.07      3767      1.9106      0.54369   1.05   1.6753      0.42352   1.0    -3.5283     2.5218   1.03   0.40283    2.9758   1.0    1.0            0.65      1.0        1.06       1.0         0.65       0          0          1            10.05072   1         0     0.11167832573595797    
  5101242482   150.14906311   2.31679392   F51P006      2      8      1     OK    1.525      1.035   1.167    0.697    0.3551   24       VUDS-J100035.77+021900.4   11545.0      22.851   8932    2335.145   3457.792   150.1490479   2.3167655   0         72.0       12.1936     0.2523626   10.77466    1.863            4.671955        11.34571    0.1568144   1.131692   1.611427       0.01042632   1.0   2.421417       0.01779057   1.0   705.7836    16.43184   1.0   6.45299      0.1289391   1.23   6.111495     0.1315443   1.22   3.935095    0.01928507   1.0   1.586127       0.04116949   1.0      1.686569      0.09642278   1.0      1.843292       0.039057   1.0      2.987836       0.04927125   1.0      2.586799     0.03507106   1.0      2.931226       0.07952184   1.0      3.262726     0.04436093   1.0      6.518749    0.07887795   1.0      3.705853    0.05256988   1.0      3.71833     0.06145759   1.0      3.232055    0.07401201   1.0      3.783094     0.1023235   1.0      4.617402    0.06248939   1.33   5.114264    0.06349627   1.28   5.57663     0.08127588   1.28   7.139455      0.3947617   1.0    6.62616     0.1232195   1.3    5.399954     0.1667736   1.16     5.702847      0.3633134   1.1      3.787007     0.01646952   1.0   4.04226     0.02084826   1.0   1.456416       0.02231845   1.0   3.320162     0.02269451   1.0   5.444146    0.06273078   1.0   5.734207    0.07932358   1.0   5.18718    0.0255881   1.0       5.74469    0.0238154   1.0       8932      4.5322      0.26232   0.98   2.7661      0.36535   1.24   0.10958     2.5928   1.09   4.6205     2.7561   1.29   1.0            1.0       1.0        1.0        0.98        0.98       0          0          0            72.35119   1         1     0.11602183151828895    
  5101242475   150.15046692   2.31660008   F51P006      2      8      2     OK    3.499      3.015   1.167    0.697    2.2758   2        VUDS-J100036.11+021859.7   11518.0      24.636   8933    2301.06    3452.703   150.1504669   2.3165534   0         39.0       2.525389    0.235331    2.191442    2.284            4.357654        1.852067    0.1562394   1.152387   0.4039793      0.01042632   1.0   0.5378791      0.01779057   1.0   167.6628    16.43184   1.0   1.006925     0.1273949   1.26   1.602283     0.1310085   1.23   0.606123    0.01928507   1.0   0.4269708      0.04116949   1.0      0.4972295     0.09642278   1.0      0.4774906      0.039057   1.0      0.4906754      0.04927125   1.0      0.5111993    0.03507106   1.0      0.3824176      0.07952184   1.0      0.548055     0.04436093   1.0      0.7274918   0.07887795   1.0      0.6115297   0.05256988   1.0      0.5912343   0.06145759   1.0      0.6352856   0.07401201   1.0      0.7359752    0.1023235   1.0      0.6870449   0.06248939   1.33   0.7696661   0.06324968   1.29   0.8847801   0.08096025   1.29   1.122933      0.3947617   1.0    1.341576    0.1227483   1.31   2.015938     0.1660594   1.17     3.583503      0.3616731   1.11     0.6013134    0.01646952   1.0   0.5557917   0.02084826   1.0   0.2560953      0.02231845   1.0   0.5763039    0.02269451   1.0   0.6623462   0.06273078   1.0   0.5989734   0.07932358   1.0   0.884506   0.0255475   1.0       1.31331    0.0240113   0.98      8933      1.3667      0.23501   1.03   1.4837      0.33041   1.25   -1.2854     2.373    1.05   1.3103     2.4249   1.33   1.0            1.0       1.0        0.98       1.0         0.98       0          0          0            11.85404   1         1     0.16804801539946299    
  5101001055   150.15161133   2.24576306   F51P006      2      9      1     OK    1.689      2.322   1.801    0.926    1.625    1        VUDS-J100036.38+021444.7   5705.0       23.987   4205    2272.711   1753.583   150.1516418   2.24576     0         145.0      23.23181    0.3317327   21.47528    2.278            5.990049        17.8663     0.1581756   1.081793   0.2821761      0.01042632   1.0   0.3192679      0.01779057   1.0   79.72157    16.43184   1.0   9.009966     0.1279035   1.25   7.857959     0.1315443   1.22   1.140418    0.01928507   1.0   0.2829301      0.04116949   1.0      0.3180775     0.09642278   1.0      0.2932101      0.039057   1.0      0.2704323      0.04927125   1.0      0.3359787    0.03507106   1.0      0.4459343      0.07952184   1.0      0.4734548    0.04436093   1.0      0.7509323   0.07887795   1.0      0.7706931   0.05256988   1.0      0.9738467   0.06145759   1.0      0.9963272   0.07401201   1.0      1.502442     0.1023235   1.0      3.921245    0.06394848   1.27   4.526031    0.06477399   1.23   5.507785    0.08291137   1.23   12.06308      0.3947617   1.0    11.73466    0.1251601   1.26   5.825548     0.1667736   1.16     10.41623      0.3568825   1.14     0.5512142    0.01646952   1.0   0.6030267   0.02084826   1.0   0.2186363      0.02231845   1.0   0.3690497    0.02269451   1.0   2.224894    0.06273078   1.0   2.578534    0.07932358   1.0   5.22106    0.025595    1.0       7.32386    0.0236378   1.01      4205      22.337      0.39797   0.9    16.154      0.40528   1.01   11.083      2.4774   0.99   10.13      2.8115   1.01   1.0            1.0       1.0        1.0        0.9         0.9        0          0          0            112.9524   1         1     0.11015993396556129    
  5101236872   150.15214539   2.35679889   F51P006      2      11     1     OK    2.451      2.327   2.111    1.164    2.2909   1        VUDS-J100036.51+022124.4   14820.0      24.628   11645   2260.375   4418.065   150.1521606   2.3567746   0         45.0       3.809833    0.2806297   3.447567    2.422            5.215365        2.709943    0.1587188   1.105079   0.6281611      0.01042632   1.0   0.713662       0.01779057   1.0   261.166     16.43184   1.0   1.85093      0.1279035   1.25   1.553868     0.1310085   1.23   0.8506334   0.01928507   1.0   0.5862647      0.04116949   1.0      0.7554271     0.09642278   1.0      0.7038913      0.039057   1.0      0.7776146      0.04927125   1.0      0.7645758    0.03507106   1.0      0.7668751      0.07952184   1.0      0.8094903    0.04436093   1.0      0.8618012   0.07887795   1.0      0.7279376   0.05256988   1.0      0.6296116   0.06145759   1.0      0.7594656   0.07401201   1.0      0.7859476    0.1023235   1.0      1.315584    0.06225578   1.34   1.445693    0.06300594   1.3    1.563286    0.08096025   1.29   1.934759      0.3947617   1.0    1.900717    0.1222824   1.32   1.599677     0.1660594   1.17     1.812929      0.3584582   1.13     0.7725324    0.01646952   1.0   0.8056294   0.02084826   1.0   0.5689965      0.02231845   1.0   0.8394688    0.02269451   1.0   0.9042634   0.06273078   1.0   0.9320106   0.07932358   1.0   1.60974    0.0251195   1.04      1.43196    0.0238948   0.99      11645     1.7166      2.0112    1.02   1.5832      1.1095    0.94   -3.3236     2.4059   1.11   -2.1721    2.8011   0.99   1.0            1.0       1.0        0.99       0.94        0.94       0          0          0            17.07386   1         1     0.1031484493993267     
