wavelength	u1	u2	u3	u4	u5 u6
9722.536 0.4285603   16.7192    -39.01   4.38563     3.581        0.
  9740.732 0.3584097   6.41659     -17.9   1.60455     3.757        0.
  9793.671 0.2701362    46.975    -173.9   11.2571      3.92        0.
  9802.215 0.5824142   14.1921    -24.37   3.64361     3.659        0.
  9851.189  0.370024   10.4587    -28.26   2.67448     3.674        0.
  9874.857 0.2467399   35.9832    -145.8   9.06509     3.729        0.
  9897.441 0.3584097   12.9623    -36.17   3.29859     3.692        0.
  9917.402 0.3367056   36.1847    -107.5   9.23016     3.683        0.
  10015.71 0.3809398   50.6965    -133.1   12.1002     3.936        0.
  10085.22 0.6539237   23.8021     -36.4   6.50125     3.439        0.
  10126.76 0.4218355   31.0935    -73.71   8.00917     3.647        0.
  10174.69 0.4102116   45.1832    -110.1   11.5241     3.683        0.
   10192.5 0.4818929   41.3499    -85.81   10.8034     3.596        0.
  10213.64 0.0855111   60.9952    -713.3   14.0847     4.068        0.
  10289.32 0.5740355   157.284     -274.   38.7426     3.814        0.
  10350.18 0.6253267   29.3679    -46.96    7.6582     3.603        0.
  10375.73 0.4396799   100.545    -228.7   25.9694     3.637        0.
  10399.41 0.3670411   37.9289    -103.3   9.77593     3.645        0.
  10421.21 0.3855163    107.26    -278.2   27.4844     3.666        0.
  10453.34 0.2761628   29.9973    -108.6   7.61186     3.702        0.
  10471.83  0.368775   71.1489    -192.9   18.1569     3.681        0.
  10512.02 0.3331173    16.433    -49.33   4.15678     3.714        0.
  10527.66 0.0783217   36.8525    -470.5   8.87754       3.9        0.
  10588.75 0.4403031   11.9892    -27.23   3.07867     3.658        0.
  10731.74 0.8860021   66.8525    -75.45   17.7158     3.545        0.
  10753.89 0.0975834   87.0608    -892.2   21.9276      3.73        0.
  10775.06 0.4226018   28.8912    -68.37   7.52031     3.609        0.
  10834.14 0.1496416   241.175    -1612.   58.4089     3.879        0.
   10844.6 -0.004616    86.886     INDEF   20.3598     4.009        0.
  10859.55 0.3563756   27.6332    -77.54    6.7405     3.851        0.
  10898.69 0.4169868   47.7275    -114.5   12.2047     3.674        0.
  10926.45 0.4068148   152.055    -373.8   39.2333     3.641        0.
  10951.35 0.2575173   61.3616    -238.3   15.6788     3.677        0.
  10975.32 0.3563756   170.898    -479.5   43.8692      3.66        0.
  11009.26  0.190642   48.8348    -256.2   12.3488     3.715        0.
  11029.81 0.2021494   116.964    -578.6   29.6179      3.71        0.
  11072.46 0.2044728   27.9697    -136.8   6.97431     3.768        0.
  11090.01  0.247654     59.92     -242.   14.9983     3.753        0.
  11140.95 0.2362435   12.0771    -51.12   2.97064     3.819        0.
   11156.1 0.1044647    22.646    -216.8   5.35628     3.972        0.
