# Keckid  DR1id   DR8id  x  y  ra  dec  field  U_colf  U_colfe  B_colf  B_colfe  V_colf  V_colfe  R_colf  R_colfe  i_colf  i_colfe  z_colf  z_colfe  J_colf  J_colfe  H_colf  H_colfe K_colf  K_colfe  K_totf  K_totfe  ch1_colf  ch1_colfe  ch2_colf  ch2_colfe  ch3_colf  ch3_colfe  ch4_colf  ch4_colfe  Uw  Bw  Vw  Rw  iw  zw  Jw  Hw  Kw  ap_col  ap_tot  f_deblend1  f_deblend2  Kr50  Keps  Kposang  totcor  Kstarclass  Opt_badpix  NIR_badpix  UH_maxflags  K_flags  z_spec
# by R. F. Quadri and R. J. Williams on Tue Aug 21 22:40:39 2012
# note PapID=KeckID-1
# DR1 from Williams+08
# DR8 from Quadri+12
#
# generated by Vy on 11Sept2014
 Keckid  DR1id   DR8id  x  y  ra  dec  field  U_colf  U_colfe  B_colf  B_colfe  V_colf  V_colfe  R_colf  R_colfe  i_colf  i_colfe  z_colf  z_colfe  J_colf  J_colfe  H_colf  H_colfe K_colf  K_colfe  K_totf  K_totfe  ch1_colf  ch1_colfe  ch2_colf  ch2_colfe  ch3_colf  ch3_colfe  ch4_colf  ch4_colfe  Uw  Bw  Vw  Rw  iw  zw  Jw  Hw  Kw  ap_col  ap_tot  f_deblend1  f_deblend2  Kr50  Keps  Kposang  totcor  Kstarclass  Opt_badpix  NIR_badpix  UH_maxflags  K_flags  z_spec   
42540 43083   76220    6121.3690    6891.4950   34.549242   -5.152178      9       1.7622       0.0470       6.8126       0.0155      20.2356       0.0149      45.9403       0.0205     131.4266       0.0226     254.1072       0.0481     546.5599       0.1342     602.7047       0.2764     489.9129       0.1798     633.3046       0.5442     275.3335       0.4295     193.6714       0.5839     115.0254       3.4495      74.2384       4.5611       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9894       0.9649       0.9819       1.8000       4.2925      0      0       0.5305       0.0250     -25.0000      1.017         0.99      0      0           4           0    0.000
41768 42302   74771    5914.6310    6742.2970   34.560891   -5.160548      9       9.4182       0.0512      45.6387       0.0156     104.4634       0.0169     174.4438       0.0221     268.4410       0.0225     462.6347       0.0475    1313.7588       0.1335    1582.1973       0.2717    1187.9769       0.1795    1525.2647       0.5573     597.8345       0.3059     363.5403       0.5996     240.7058       2.5011     140.2215       4.7066       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9986       0.9886       0.9976       1.8000       4.3826      0      0       0.5258       0.0130     -80.2300      1.015         0.99      0      0           4           0  -99.000
36490 36960   65829    5217.4970    5924.6200   34.600177   -5.206420      9      61.5736       0.0502     169.3104       0.0129     222.3865       0.0149     256.1870       0.0182     263.0728       0.0203     636.9054       0.0494    1713.7367       0.1390    1923.4838       0.2825    1336.8185       0.1899    1736.1059       0.6867     639.0815       0.4122     392.7954       0.5188     245.2956       3.1804     138.3093       3.8751       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9472       0.9257       0.9629       1.8000       4.9987      0      0       0.5410       0.1420     -75.4500      1.008         0.99      0      0           4           0  -99.000
34677 35122   62105    5434.3290    5708.6110   34.587963   -5.218544      9       0.5302       0.0501       0.7794       0.0128       0.8706       0.0152       0.9493       0.0184       1.0244       0.0198       1.4752       0.0472       2.2578       0.1440       2.2442       0.2852       2.6286       0.1906       3.9914       0.3899       2.2085       0.3536       2.7712       0.5255      -2.6268       2.3776      -1.9718       4.1045       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9429       0.9393       0.9461       1.8000       3.0320      0      0       0.6480       0.3860      35.6500      1.065         0.46      0      0           0           0  -99.000
35711 36164   63976    5834.3300    5882.1450   34.565424   -5.208811      9       0.6387       0.0497       1.5204       0.0136       2.4081       0.0170       2.9137       0.0203       3.3085       0.0224       3.6150       0.0516       3.6003       0.1446       4.0734       0.2839       3.4761       0.1900       4.2353       0.3159       1.2452       0.3623       0.8219       0.5457       2.9400       2.9400      -2.2871       4.2082       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9577       0.9539       0.9678       1.8000       2.4644      0      0       0.4680       0.0520      81.2700      1.120         0.97      0      0           0           0  -99.000
35776 36229   64003    5684.7540    5874.1260   34.573851   -5.209259      9       0.0748       0.0509       0.3925       0.0148       1.3267       0.0187       3.1073       0.0219      10.1356       0.0235      19.0967       0.0574      31.7159       0.1518      33.7772       0.2940      27.5006       0.1910      34.0435       0.4059      15.1946       0.4317      10.5751       0.6108       3.3237       3.4517       6.5460       4.8742       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9599       0.9540       0.9693       1.8000       3.1170      0      0       0.4901       0.0460      68.8700      1.060         0.98      0      0           0           0  -99.000
35853 36307   64199    5421.0510    5907.7660   34.588709   -5.207369      9       0.7803       0.0497       0.8884       0.0122       0.9293       0.0136       0.9584       0.0164       1.0373       0.0189       1.2249       0.0491       2.2496       0.1393       2.1707       0.2814       2.0235       0.1881       2.4568       0.3084       2.6706       0.4621       3.4000       0.6670       3.1760       3.5730       8.8332       5.2007       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9621       0.9610       0.9741       1.8000       2.4162      0      0       0.4775       0.1730      89.8800      1.126         0.95      0      0           0           0  -99.000
35877 36331   64275    6163.3420    5899.6050   34.546886   -5.207834      9     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000       5.6219       0.1378       5.7324       0.2777       6.6572       0.1815       9.8361       0.4296       6.4063       0.4317       3.8874       0.4155       7.6532       3.1517      -0.2713       2.9267       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9711       0.9712       0.9771       1.8000       3.4737      0      0       0.6599       0.2170      55.0100      1.041         0.05      1      0           0           0  -99.000
36135 36595   64697    5419.3920    5943.0470   34.588802   -5.205389      9       0.8398       0.0462       1.1959       0.0123       1.4012       0.0141       1.4864       0.0170       1.5883       0.0195       1.8669       0.0499       2.8018       0.1394       4.2619       0.2816       4.2307       0.1896       6.4680       0.4206       4.3605       0.3710       4.1860       0.5412       7.4790       2.7459       4.1971       4.2854       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9612       0.9649       0.9732       1.8000       3.2812      0      0       0.6830       0.2860      88.2300      1.050         0.03      0      0           0           0  -99.000
36331 36794   65038    5818.3800    5950.6470   34.566322   -5.204967      9       1.6599       0.0426       2.2522       0.0131       3.4063       0.0170       5.7032       0.0207       6.8597       0.0226       7.2639       0.0570       8.1493       0.1423       9.3719       0.2799       9.9082       0.1898      18.8348       0.6188       6.3542       0.2625       4.9833       0.4132       0.9329       2.1901       2.3357       3.0878       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9673       0.9614       0.9767       1.8000       4.5728      0      0       0.8518       0.1240       7.5500      1.013         0.03      0      0           0           0  -99.000
36395 36861   65213    4920.8640    5985.2730   34.616890   -5.203013      9       0.9214       0.0565       1.2376       0.0128       1.2302       0.0156       1.3003       0.0185       1.3993       0.0235       1.6207       0.0542       2.8837       0.1436       3.2668       0.2903       3.4738       0.1845       4.6106       0.3459       3.8637       0.3558       3.6426       0.6333       0.1544       2.4481      -1.4005       4.3449       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9616       0.9638       0.9667       1.8000       2.7854      0      0       0.5587       0.0490     -19.4900      1.085         0.54      0      0           0           0  -99.000
36764 37236   65808    5062.4250    6034.4810   34.608913   -5.200254      9       0.5980       0.0563       1.0351       0.0128       1.1641       0.0160       1.3134       0.0189       1.8350       0.0202       2.3391       0.0560       5.2630       0.1395       7.6034       0.2844       8.8566       0.1916      12.3867       0.4336      14.2162       0.3254      14.9049       0.4761       8.0612       2.6511      11.2835       3.5333       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9728       0.9727       0.9794       1.8000       3.3289      0      0       0.5951       0.0740      64.1500      1.048         0.42      0      0           0           0  -99.000
36849 37322   65966    5812.6460    6056.2920   34.566644   -5.199039      9       0.6879       0.0491       0.8316       0.0131       0.8676       0.0159       0.8984       0.0187       1.0501       0.0206       1.3194       0.0617       2.7758       0.1388       3.3792       0.2825       3.3061       0.1843       4.2367       0.3369       4.1392       0.3623       3.7054       0.4289       5.4543       3.2024       3.7781       3.2046       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9859       0.9727       0.9875       1.8000       2.6841      0      0       0.5311       0.0700     -74.9600      1.095         0.78      0      0           0           0  -99.000
36906 37379   66144    4807.8300    6043.2880   34.623258   -5.199756      9       0.1073       0.0500       0.2644       0.0121       1.1453       0.0155       2.7828       0.0176       7.3188       0.0202      12.6888       0.0545      23.7908       0.1398      34.9808       0.2823      49.0384       0.1842      69.9706       0.5335      53.3654       0.3666      32.4103       0.5480      19.4440       2.4790      15.5292       3.8178       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9626       0.9599       0.9676       1.8000       4.1517      0      0       0.6230       0.0770      50.4700      1.020         0.88      0      0           0           0  -99.000
37034 37509   66331    5843.0240    6085.7900   34.564932   -5.197384      9       0.4959       0.0503       0.6826       0.0128       0.6951       0.0158       0.7945       0.0181       0.9382       0.0214       1.1878       0.0618       2.5543       0.1397       2.6588       0.2827       2.9545       0.1828       3.7890       0.3070       4.3453       0.3753       4.4016       0.4626       5.2911       3.2907       1.7688       3.3811       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9873       0.9825       0.9901       1.8000       2.5126      0      0       0.4977       0.1870      26.2300      1.114         0.97      0      0           0           0  -99.000
