#vuds_ident alpha delta spmask_obs quad slit obj det meanflux sn maxdel rmsdel z_spec zflags id_iau id_candels magi
5101453329 150.14610291 2.55292702 F51P008 2 4 1 OK 48.442 1.291 1.914 0.963 3.4140 3 VUDS-J100035.06+023310.5 28761 24.792
5101455236 150.14929199 2.54051089 F51P008 2 7 1 OK 49.907 1.456 1.333 0.745 0.5347 2 VUDS-J100035.82+023225.8 28271 24.922
5101455804 150.15777588 2.53596306 F51P008 2 19 1 OK 98.279 2.358 1.212 0.575 3.2160 2 VUDS-J100037.86+023209.4 27923 24.291
5101453709 150.16226196 2.5494411 F51P008 2 26 1 OK 54.737 1.379 1.67 0.864 2.2832 2 VUDS-J100038.94+023257.9 28784 24.845
5101454898 150.16403198 2.54132295 F51P008 2 29 2 OK 17.343 0.79 0.71 0.469 0.6905 4 VUDS-J100039.36+023228.7 28343 24.415
5101454897 150.16435242 2.54133105 F51P008 2 29 3 OK 58.503 1.769 0.71 0.469 2.3413 21 VUDS-J100039.44+023228.7 28314 23.772
5101454003 150.16633606 2.54274392 F51P008 2 33 1 OK 88.274 2.174 0.808 0.425 3.0919 2 VUDS-J100039.91+023233.8 28670 24.175
5101455396 150.16841125 2.53894806 F51P008 2 36 1 OK 41.085 1.084 1.754 0.935 1.3234 22 VUDS-J100040.41+023220.2 28081 23.115
5101455135 150.17459106 2.5405829 F51P008 2 41 1 OK 125.888 3.049 1.715 0.775 1.2647 9 VUDS-J100041.90+023226.0 28220 23.609
5110445455 150.17359924 2.54047489 F51P008 2 41 2 OK 0.008 0.832 1.715 0.775 1.1941 29 VUDS-J100041.66+023225.7 28260 24.384
5101453287 150.17778015 2.55310512 F51P008 2 44 1 OK 90.384 2.236 1.446 0.746 2.9311 4 VUDS-J100042.66+023311.1 28408 24.786
5101452699 150.17962646 2.55701303 F51P008 2 47 1 OK 99.842 3.078 1.067 0.662 2.3100 32 VUDS-J100043.11+023325.2 28900 24.477
5101455698 150.18057251 2.53587294 F51P008 2 49 1 OK 17.183 1.213 0.223 0.139 0.8950 23 VUDS-J100043.33+023209.1 27921 23.521
5101452988 150.18293762 2.55516195 F51P008 2 52 1 OK 413.058 1.929 1.683 1.085 2.2340 4 VUDS-J100043.90+023318.5 28996 23.11
