#vuds_ident alpha delta id_iau id_candels z_spec zflags magi model age age_loweff1sig age_higheff1sig log_stellar_mass stellar_mass_loweff1sig stellar_mass_higheff1sig log_star_formation_rate star_formation_rate_loweff1sig star_formation_rate_higheff1sig log_specific_sfr specific_sfr_loweff1sig specific_sfr_higheff1sig m_k k ek z_1a ra dec flag
5100994794 150.17146301 2.28725791 VUDS-J100041.15+021714.1 9000 4.5783 3 24.662 13 425476000 156843000 874747000 9.95744 9.73953 10.135 1.50803 1.31161 1.79192 -8.44178 -8.77615 -8.00879 -22.879 24.504 0.25 4.5783 150.17146301 2.28725791 3
5100994936 150.15925598 2.28497696 VUDS-J100038.21+021705.9 8817 2.8269 2 24.873 5 383995000 167171000 777738000 9.58382 9.40737 9.73709 1.17259 0.967555 1.40656 -8.41559 -8.71974 -8.04949 -21.366 23.975 0.154 2.8269 150.15925598 2.28497696 2
5100994969 150.15342712 2.28604698 VUDS-J100036.82+021709.7 8896 3.3839 1 24.92 13 54349400 47562300 143350000 9.18959 9.01413 9.34263 1.60176 1.36028 1.76593 -7.58653 -7.92447 -7.28308 -20.778 -99.9 -99.9 3.3839 150.15342712 2.28604698 1
5100995077 150.18678284 2.28473496 VUDS-J100044.82+021705.0 8789 2.3651 1 24.87 1 811020000 348527000 1666170000 10.1122 9.97368 10.2152 1.30631 1.03984 1.52081 -8.82363 -9.14556 -8.52152 -22.39 23.293 0.082 2.3651 150.18678284 2.28473496 1
5100995119 150.14807129 2.28523111 VUDS-J100035.53+021706.8 8833 3.0291 2 24.884 11 51156200 46649500 56098200 9.48759 9.35407 9.54048 2.03352 1.91173 2.16067 -7.33408 -7.58945 -7.24291 -21.998 23.289 0.082 3.0291 150.14807129 2.28523111 2
5100995291 150.18522644 2.28445411 VUDS-J100044.45+021704.0 8783 0.9993 22 24.52 9 3636800000 1462380000 4980330000 9.62339 9.42095 9.71886 0.266141 0.107864 0.480914 -9.38643 -9.58808 -8.95182 -20.621 22.915 0.062 0.9993 150.18522644 2.28445411 22
5100996068 150.16772461 2.27846694 VUDS-J100040.25+021642.4 8249 0.1868 4 23.783 5 981779000 442799000 1851930000 7.49557 7.38698 7.59699 -1.35439 -1.61907 -1.05981 -8.86961 -9.19789 -8.46853 -16.093 23.33 0.1 0.1868 150.16772461 2.27846694 4
5100996069 150.16717529 2.27849102 VUDS-J100040.12+021642.5 8242 3.1692 22 25.099 1 490067000 201847000 1027360000 9.56173 9.35172 9.7423 1.03567 0.854719 1.26326 -8.51966 -8.82637 -8.12703 -21.4 24.678 0.306 3.1692 150.16717529 2.27849102 22
5100997733 150.14434814 2.2668879 VUDS-J100034.64+021600.7 -99.9 3.0019 3 24.444 11 567711000 330876000 984106000 9.70282 9.54494 9.83881 1.15231 1.03959 1.2728 -8.55135 -8.74817 -8.31953 -21.59 23.727 0.141 3.0019 150.14434814 2.2668879 3
5100998496 150.20501709 2.26216006 VUDS-J100049.20+021543.7 6868 3.8979 4 24.484 5 437642000 199512000 849058000 10.3926 10.2441 10.5279 1.9188 1.74773 2.13722 -8.47998 -8.73711 -8.1319 -23.215 23.004 0.073 3.8979 150.20501709 2.26216006 4
5100998761 150.16477966 2.26069689 VUDS-J100039.54+021538.5 6749 2.4460 4 24.902 11 859736000 451206000 1444350000 9.49886 9.3089 9.65087 0.769458 0.639515 0.879617 -8.72026 -8.97013 -8.47356 -21.067 23.864 0.144 2.446 150.16477966 2.26069689 4
5100998765 150.16551208 2.26052308 VUDS-J100039.72+021537.8 6797 0.0000 24 23.254 2 430940000 277085000 524681000 7.01262 7.00404 7.0212 -2.11794 -2.22751 -2.02885 -8.96409 -9.13841 -8.83157 22.605 22.605 0.051 0.0 150.16551208 2.26052308 24
5100999282 150.17448425 2.25841594 VUDS-J100041.87+021530.2 6611 1.2543 2 24.426 13 325855000 161207000 685152000 9.23797 9.12916 9.36794 0.938019 0.721369 1.0712 -8.27372 -8.60313 -8.08193 -21.112 23.529 0.097 1.2543 150.17448425 2.25841594 2
5101000103 150.1965332 2.25314689 VUDS-J100047.16+021511.3 6203 3.0200 1 24.844 8 1416770000 866307000 1866850000 9.73141 9.57711 9.85153 0.753539 0.634407 0.866348 -8.99469 -9.14232 -8.77976 -21.617 24.294 0.194 3.02 150.1965332 2.25314689 1
5101000980 150.15356445 2.24620104 VUDS-J100036.85+021446.3 5707 2.1553 1 24.274 1 607417000 339553000 1035150000 9.72418 9.61113 9.83048 1.085 0.927866 1.26304 -8.65228 -8.87921 -8.39974 -21.534 23.438 0.115 2.1553 150.15356445 2.24620104 1
5101001041 150.16252136 2.24579906 VUDS-J100039.00+021444.8 5654 4.3853 2 24.686 13 217868000 102075000 498220000 9.37372 9.13176 9.59196 1.22705 1.05924 1.39219 -8.12486 -8.46665 -7.75169 -21.256 -99.9 -99.9 4.3853 150.16252136 2.24579906 2
5101001055 150.15161133 2.24576306 VUDS-J100036.38+021444.7 5705 1.6250 1 23.987 1 586641000 531139000 641201000 10.5216 10.4751 10.5764 0.143384 -0.0779078 0.251586 -10.3576 -10.6139 -10.2504 -23.323 21.471 0.019 1.625 150.15161133 2.24576306 1
5101001604 150.18133545 2.241503 VUDS-J100043.51+021429.4 5299 3.1582 3 24.975 13 699777000 325814000 1283480000 9.63592 9.41867 9.80657 0.960137 0.834869 1.15341 -8.665 -8.91601 -8.32414 -21.514 24.622 0.32 3.1582 150.18133545 2.241503 3
5101001616 150.18554688 2.24180889 VUDS-J100044.53+021430.5 5380 0.3381 3 23.591 10 2170340000 1090750000 4260610000 8.16436 8.06934 8.27847 -1.06868 -1.26383 -0.883994 -9.23191 -9.49393 -9.01027 -17.457 23.22 0.075 0.3381 150.18554688 2.24180889 3
5101001738 150.16914368 2.23839498 VUDS-J100040.59+021418.2 5145 2.9967 2 23.039 2 997327000 921888000 1081110000 10.8518 10.8165 10.8859 1.10383 1.03323 1.17395 -9.69697 -9.767 -9.62889 -24.015 22.054 0.026 2.9967 150.16914368 2.23839498 2
5101001747 150.17301941 2.23938107 VUDS-J100041.52+021421.7 5156 2.1451 1 24.012 3 358542000 152892000 579366000 9.59261 9.44006 9.71238 1.19044 1.06613 1.44258 -8.41214 -8.58766 -8.03653 -21.719 23.405 0.103 2.1451 150.17301941 2.23938107 1
5101001924 150.18812561 2.23971701 VUDS-J100045.15+021422.9 5165 1.1550 3 24.392 2 856302000 467118000 1396940000 9.00041 8.8961 9.10381 0.22725 0.08023 0.384711 -8.7777 -8.97872 -8.54585 -19.729 23.988 0.157 1.155 150.18812561 2.23971701 3
5101002019 150.20021057 2.23903608 VUDS-J100048.05+021420.5 5099 4.0714 1 24.569 5 304167000 123378000 706870000 10.2119 10.0336 10.3828 1.94799 1.70504 2.21525 -8.24195 -8.6337 -7.90418 -23.703 23.784 0.13 4.0714 150.20021057 2.23903608 1
5101002040 150.17720032 2.23910189 VUDS-J100042.52+021420.7 5102 3.1590 3 24.966 1 602562000 267993000 1267500000 10.0893 9.91713 10.2301 1.47103 1.23748 1.7288 -8.6299 -8.96939 -8.21603 -22.408 23.62 0.136 3.159 150.17720032 2.23910189 3
5101002088 150.19245911 2.23661304 VUDS-J100046.19+021411.8 4859 3.0874 1 24.556 5 722426000 340978000 1323210000 9.9217 9.75743 10.0516 1.21709 1.03958 1.4368 -8.7065 -8.982 -8.35838 -21.998 23.72 0.125 3.0874 150.19245911 2.23661304 1
5101002091 150.19056702 2.23656201 VUDS-J100045.73+021411.6 4865 3.3212 2 24.107 13 217329000 93080500 437248000 9.36618 9.07099 9.5723 1.21325 1.06511 1.44566 -8.12541 -8.44706 -7.64753 -21.578 24.346 0.223 3.3212 150.19056702 2.23656201 2
5101002097 150.19378662 2.23651195 VUDS-J100046.50+021411.4 5077 0.0000 24 19.345 4 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 18.384 18.384 0.0010 0.0 150.19378662 2.23651195 24
5101002120 150.14956665 2.23819208 VUDS-J100035.89+021417.4 5043 2.0980 1 24.972 1 288213000 130731000 545871000 9.52294 9.38984 9.6495 1.17585 0.990088 1.49368 -8.36234 -8.61757 -7.96056 -21.608 23.863 0.135 2.098 150.14956665 2.23819208 1
5101002365 150.20195007 2.23722291 VUDS-J100048.46+021414.0 4976 1.2436 4 23.603 11 1599400000 1263380000 2460500000 10.2966 10.2441 10.3577 1.28449 1.20448 1.36838 -9.02857 -9.14757 -8.93006 -22.664 21.531 0.02 1.2436 150.20195007 2.23722291 4
