Nameobj,ra,dec,conf,zspec,zphoto,Av,lmass,lsfr_FAST,Ha_lsfr,fha,fha_err,fha_snr,fha_width,L_ha,fnii,fnii_err,fnii_snr,fhb,fhb_err,fhb_snr,fo3,fo3_err,fo3_snr,fo3_width,fo2,fo2_err,fo2_snr,fo2_width,ZFOURGE_AGN,BPT_AGN,zspec_K,conf_K,zspec_H,conf_H,doubles
1085,150.1833496,2.2019176,3,2.188183,2.1898,0.2,9.56,-0.92,1.02447213492,2.528,0.068,37.1764705882,4.382,9.50458247603e+41,0.217,0.046,4.71739130435,,,,,,,,,,,,,False,2.188183,3,,1,
1180,150.129837,2.2028654,3,2.097551,2.1144,0.1,9.22,0.38,0.625084317253,1.327,0.151,8.7880794702,2.732,4.49781124571e+41,0.309,0.058,5.3275862069,0.307,0.18,1.70555555556,1.785,0.105,17.0,3.178,,,,,,False,2.097551,3,2.097786,3,
1236,150.190567,2.2038417,3,2.038836,2.1897,0.8,9.06,0.89,0.883004224463,0.776,0.067,11.5820895522,2.869,2.453178406e+41,,,,,,,,,,,,,,,,--,2.038836,3,,1,
1303,150.1171722,2.2044213,3,2.085157,2.1135,0.6,9.29,0.82,,,,,,,,,,0.024,0.048,0.5,0.649,0.04,16.225,1.757,,,,,,--,,1,2.085157,3,
1349,150.203064,2.2055438,3,2.188822,2.1743,0.5,9.62,0.38,0.86157093497,1.038,0.056,18.5357142857,4.23,3.90538490838e+41,0.018,0.043,0.418604651163,,,,,,,,,,,,,False,2.188822,3,,1,
1349b,,,3,2.008289,,,,,,1.909,0.154,12.3961038961,5.982,5.81525449692e+41,0.109,0.068,1.60294117647,,,,,,,,,,,,,False,2.008289,3,,1,
1385,150.1234283,2.2056477,3,2.097794,2.1042,0.0,9.27,-1.03,0.943887034016,3.281,0.228,14.3903508772,8.549,1.11239734264e+42,0.0,0.053,0.0,0.832,0.248,3.35483870968,2.379,0.107,22.2336448598,3.583,,,,,,False,2.097794,3,2.097139,3,
1385b,,,3,2.094554,,,,,,,,,,,,,,0.084,0.103,0.815533980583,0.593,0.083,7.14457831325,1.359,,,,,,--,,1,2.094554,3,
1514,150.1743164,2.2073195,2,2.280156,2.0457,1.0,9.99,-1.18,1.68269553049,2.64,0.249,10.6024096386,8.415,1.09776262175e+42,0.108,0.122,0.885245901639,,,,,,,,,,,,,False,2.280156,2,,1,
1580,150.2002411,2.2080472,1,,2.8732,0.6,9.76,2.32,,,,,,,,,,,,,,,,,,,,,,--,2.06199,1,,1,
