Nameobj,ra,dec,conf,zspec,zphoto,fha,fha_err,fha_snr,fha_width,fnii,fnii_err,fnii_snr,fhb,fhb_err,fhb_snr,fo3,fo3_err,fo3_snr,fo3_width,fo2,fo2_err,fo2_snr,fo2_width,BPT_AGN,zspec_H,conf_H,zspec_J,conf_J,zspec_Y,conf_Y
35853,34.588709,-5.207369,3,1.516538,1.523,2.83,0.136,20.8088235294,2.732,0.39,0.085,4.58823529412,0.555,0.157,3.53503184713,2.866,0.269,10.6542750929,0.5,,,,,False,1.516538,3,1.516401,3,,1
36135,34.588802,-5.205389,3,2.558994,1.473,,,,,,,,0.11,0.068,1.61764705882,0.847,0.098,8.64285714286,1.595,2.716,0.346,7.84971098266,5.849,--,2.453177,1,2.558994,3,0.0,1
36395,34.61689,-5.203013,3,1.613327,1.732,2.045,0.076,26.9078947368,2.28,0.174,0.285,0.610526315789,0.047,0.184,0.255434782609,0.0,0.1,0.0,2.04,,,,,False,1.613327,3,1.692071,1,,1
36395b,,,1,,1.732,,,,,,,,,,,,,,,,,,,--,,1,,1,0.0,1
36764,34.608913,-5.200254,3,1.701578,1.548,10.62,0.233,45.5793991416,8.075,2.787,0.155,17.9806451613,2.185,0.255,8.56862745098,2.085,0.51,4.08823529412,6.469,3.349,0.467,7.17130620985,2.82,False,1.701578,3,1.700839,3,1.702017,3
36849,34.566644,-5.199039,3,1.623722,1.652,4.512,0.28,16.1142857143,4.609,0.326,0.282,1.15602836879,1.163,0.537,2.16573556797,3.708,0.222,16.7027027027,3.065,4.305,0.56,7.6875,5.5,False,1.623722,3,1.623734,3,1.62508,3
37116,34.597222,-5.196622,1,,3.027,0.0,0.156,0.0,19.134,1.235,0.617,2.00162074554,,,,,,,,,,,,--,1.284594,1,0.979962,1,,1
37269,34.568756,-5.195952,3,1.624214,1.523,5.128,0.408,12.568627451,7.99,0.36,0.314,1.14649681529,0.522,0.584,0.893835616438,1.877,0.235,7.98723404255,4.074,,,,,False,1.624214,3,1.623824,3,,1
37522,34.602992,-5.193718,3,1.622594,1.652,2.277,0.262,8.69083969466,4.633,0.728,0.123,5.91869918699,0.46,0.335,1.37313432836,0.704,0.154,4.57142857143,3.118,,,,,True,1.622594,3,1.619172,1,,1
37667,34.595913,-5.191608,1,,3.914,0.373,0.162,2.3024691358,1.0,0.309,0.095,3.25263157895,,,,,,,,2.181,1.373,1.58849235251,7.084,--,3.694418,1,0.980818,1,,1
37878,34.593141,-5.190659,1,,1.548,,,,,,,,0.0,0.328,0.0,0.322,0.184,1.75,0.5,,,,,--,2.394686,1,1.595986,1,,1
38015,34.615295,-5.188419,3,1.595345,1.759,2.639,0.11,23.9909090909,4.013,0.235,0.097,2.42268041237,0.991,0.427,2.32084309133,1.299,0.161,8.06832298137,2.164,,,,,False,1.595345,3,1.595607,3,,1
38080,34.610017,-5.188696,3,1.62481,1.498,11.492,0.181,63.4917127072,3.628,1.661,0.205,8.10243902439,2.734,0.549,4.97996357013,2.361,0.226,10.4469026549,3.488,6.152,1.54,3.99480519481,4.365,False,1.62481,3,1.62501,3,1.626108,1
38442,34.601441,-5.185452,3,2.086164,1.652,,,,,,,,0.538,0.169,3.18343195266,2.4,0.146,16.4383561644,0.69,,,,,--,2.086164,3,1.598646,1,,1
38455,34.609474,-5.186294,3,1.62322,2.078,4.22,0.207,20.38647343,1.786,0.682,0.142,4.80281690141,1.237,0.293,4.22184300341,1.655,0.139,11.9064748201,0.5,,,,,False,1.62322,3,1.62339,3,,1
38583,34.57167,-5.184897,3,1.648206,1.732,18.659,0.428,43.5957943925,16.952,5.463,0.378,14.4523809524,3.491,0.42,8.3119047619,28.777,0.449,64.0913140312,13.969,,,,,False,1.648206,3,1.648273,3,,1
38590,34.607423,-5.18505,1,,1.705,,,,,,,,0.0,0.202,0.0,2.242,0.392,5.7193877551,15.267,0.531,0.117,4.53846153846,0.0,--,2.100597,1,1.655119,1,0.0,1
38590b,,,1,,1.705,,,,,,,,,,,,,,,,,,,--,,1,,1,0.0,1
38692,34.564365,-5.18374,3,1.493848,1.787,1.232,0.196,6.28571428571,3.103,0.19,0.109,1.74311926606,0.0,0.192,0.0,1.045,0.221,4.72850678733,4.668,,,,,False,1.493848,3,1.67348,1,,1
38759,34.572887,-5.182231,1,,1.523,,,,,,,,0.206,0.107,1.92523364486,0.533,0.334,1.59580838323,0.5,,,,,--,2.395304,1,1.595946,1,,1
38800,34.59176,-5.182379,3,1.624158,1.261,0.99,0.285,3.47368421053,5.747,0.0,0.23,0.0,0.868,0.609,1.42528735632,2.047,0.242,8.45867768595,3.714,2.956,0.987,2.99493414387,3.799,False,1.624204,1,1.624158,3,1.624451,1
39013,34.576179,-5.179698,1,,1.449,0.265,0.249,1.06425702811,3.001,0.0,0.119,0.0,7.112,0.202,35.2079207921,0.0,0.104,0.0,0.5,,,,,--,1.495183,1,1.602531,1,,1
39150,34.599915,-5.178278,3,1.623656,1.449,3.054,0.188,16.2446808511,2.258,0.564,0.176,3.20454545455,0.417,0.482,0.865145228216,1.713,0.151,11.3443708609,0.5,,,,,False,1.623656,3,1.623769,3,,1
39231,34.592832,-5.179839,1,,1.705,0.522,0.117,4.46153846154,1.0,0.0,0.061,0.0,,,,0.109,0.075,1.45333333333,0.5,,,,,--,1.617664,1,1.673159,1,,1
39231b,,,3,1.276714,1.705,4.622,0.213,21.6995305164,2.758,0.125,0.193,0.647668393782,,,,,,,,,,,,False,1.276714,3,,1,,1
39290,-999.0,-999.0,1,,2.172,,,,,,,,0.006,0.063,0.0952380952381,0.442,0.246,1.79674796748,0.5,,,,,--,2.395707,1,1.671246,1,,1
39463,34.592881,-5.176262,3,1.621864,1.523,9.705,0.263,36.9011406844,6.598,0.788,0.133,5.92481203008,1.812,0.631,2.87163232964,4.46,0.263,16.9581749049,4.423,,,,,False,1.621864,3,1.621872,3,,1
39701,34.595625,-5.174749,3,1.628784,1.678,2.663,0.332,8.02108433735,13.373,3.716,0.365,10.1808219178,0.0,1.118,0.0,0.884,0.273,3.2380952381,7.345,,,,,True,1.628784,3,1.628871,1,,1
39717,34.58788,-5.175846,3,1.618593,1.625,0.0,0.299,0.0,16.741,2.805,0.369,7.60162601626,,,,0.355,0.105,3.38095238095,0.5,3.296,0.594,5.54882154882,8.24,True,1.618593,3,1.59423,1,0.0,1
39771,34.592889,-5.174038,3,1.623335,1.523,7.168,0.246,29.1382113821,3.663,1.439,0.198,7.26767676768,1.323,0.417,3.1726618705,3.525,0.186,18.9516129032,2.299,,,,,False,1.623335,3,1.623455,3,,1
